## Data from Lilia and Justine


## SOURCE_METADATA
# class, l_deg, b_deg, coordinates_refs, D, D_prob, distance_distribution_text, distance_refs
BH,338.939,-4.326, [https://simbad.u-strasbg.fr/simbad/sim-id?Ident=GX+339-4], 10.0, "(""uniform"", 8, 12)", 8.0-12.0, [https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.1026Z/abstract]

## OBS_METADATA
# xray_CI, xray_obs_ref, radio_obs_ref, extra_xray_text, extra_radio_text
68, [Crook-Mansour et al. (in prep.) &], [Tremou et al. (2020) & https://ui.adsabs.harvard.edu/abs/2020MNRAS.493L.132T/abstract; Tremou et al. (2026) & https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..149T/abstract], "", "The MeerKAT images can be found <a href='https://archive-gw-1.kat.ac.za/public/repository/10.48479/4fpq-sd16/index.html' target='_blank'>here</a>."


## XRAY_DATA
# obsID, t_xray, dt_xray, Xphase, Xstate, Fx, Fx_unc_l, Fx_unc_u, Fx_uplim, model, fit_stat
00032898172pc,58227.6773,0.4129073394,quiescence,QS,9.11E-13,1.82E-13,2.09E-13,,pegged_powerlaw,
00032898177pc,58396.39485,0.06811371505,quiescence,QS,8.75E-13,2.16E-13,2.57E-13,,pegged_powerlaw,
00032898178pc,58403.96213,0.07518740579,quiescence,QS,9.30E-13,2.12E-13,2.49E-13,,pegged_powerlaw,
00032898181pc,58423.15508,0.06565724305,quiescence,QS,2.25E-12,4.18E-13,5.19E-13,,pegged_powerlaw,
00032898182wt,58504.07539,0.01122426243,decay,HS,7.42E-10,1.15E-11,1.17E-11,,pegged_powerlaw,
00032898183wt,58505.63235,0.07580274553,decay,HS,6.39E-10,1.66E-11,1.70E-11,,pegged_powerlaw,
00032898183pc,58505.63366,0.07798674977,decay,HS,6.56E-10,3.63E-11,3.83E-11,,pegged_powerlaw,
00032898184wt,58507.13413,0.007515410616,decay,HS,7.31E-10,1.38E-11,1.41E-11,,pegged_powerlaw,
00032898185wt,58510.78994,0.01127525638,decay,HS,6.95E-10,1.10E-11,1.12E-11,,pegged_powerlaw,
00032898186wt,58512.25295,0.01434733873,decay,HS,7.25E-10,1.01E-11,1.02E-11,,pegged_powerlaw,
00032898187wt,58513.04183,0.01018253152,decay,HS,6.52E-10,1.14E-11,1.16E-11,,pegged_powerlaw,
00032898188wt,58516.69975,0.005493048498,decay,HS,5.86E-10,2.01E-11,2.07E-11,,pegged_powerlaw,
00032898189wt,58519.32283,0.07643754912,decay,HS,6.95E-10,1.01E-11,1.02E-11,,pegged_powerlaw,
00032898189pc,58519.32599,0.0738857867,decay,HS,6.06E-10,2.66E-11,2.77E-11,,pegged_powerlaw,
00032898190wt,58526.09108,0.06041162674,decay,HS,5.74E-10,2.01E-11,2.07E-11,,pegged_powerlaw,
00032898190pc,58526.09158,0.0593057669,decay,HS,5.56E-10,2.75E-11,2.90E-11,,pegged_powerlaw,
00032898191pc,58533.32702,0.5921881514,decay,HS,5.60E-10,2.25E-11,2.34E-11,,pegged_powerlaw,
00032898191wt,58533.3283,0.596950715,decay,HS,5.54E-10,1.16E-11,1.19E-11,,pegged_powerlaw,
00032898192wt,58534.42141,0.3986738035,decay,HS,5.21E-10,1.42E-11,1.45E-11,,pegged_powerlaw,
00032898192pc,58534.42393,0.4015597948,decay,HS,5.47E-10,2.36E-11,2.47E-11,,pegged_powerlaw,
00032898193wt,58537.62067,0.2656030795,decay,HS,6.61E-10,1.27E-11,1.30E-11,,pegged_powerlaw,
00032898193pc,58537.62116,0.2654674513,decay,HS,5.72E-10,2.33E-11,2.43E-11,,pegged_powerlaw,
00032898194wt,58540.49904,0.6019257911,decay,HS,4.21E-10,2.13E-11,2.23E-11,,pegged_powerlaw,
00032898194pc,58540.50441,0.6086335595,decay,HS,4.71E-10,1.81E-11,1.89E-11,,pegged_powerlaw,
00032898195wt,58543.52919,0.9286734628,decay,HS,4.32E-10,2.48E-11,2.58E-11,,pegged_powerlaw,
00032898195pc,58543.53522,0.9400915611,decay,HS,4.74E-10,1.62E-11,1.69E-11,,pegged_powerlaw,
00032898196wt,58546.81487,0.06556396816,decay,HS,5.43E-10,1.56E-11,1.61E-11,,pegged_powerlaw,
00032898196pc,58546.82072,0.07050497212,decay,HS,4.28E-10,1.70E-11,1.77E-11,,pegged_powerlaw,
00032898197wt,58547.93242,0.06536520112,decay,HS,3.09E-10,4.10E-11,4.69E-11,,pegged_powerlaw,
00032898197pc,58547.93849,0.07658914467,decay,HS,4.62E-10,1.63E-11,1.68E-11,,pegged_powerlaw,
00032898198wt,58549.76762,0.131805229,decay,HS,5.53E-10,3.24E-11,3.37E-11,,pegged_powerlaw,
00032898198pc,58549.77168,0.1393953294,decay,HS,3.78E-10,1.36E-11,1.41E-11,,pegged_powerlaw,
00032898199wt,58552.89245,0.1444994361,decay,HS,3.87E-10,2.36E-11,2.47E-11,,pegged_powerlaw,
00032898199pc,58552.89548,0.1501611839,decay,HS,3.87E-10,1.63E-11,1.69E-11,,pegged_powerlaw,
00032898200pc,58554.6768,0.01256112188,decay,HS,6.09E-10,4.69E-11,4.92E-11,,pegged_powerlaw,
00032898200wt,58554.67698,0.01189806713,decay,HS,4.07E-10,1.87E-11,1.96E-11,,pegged_powerlaw,
00032898201wt,58555.84775,0.06568256467,decay,HS,3.19E-10,2.14E-11,2.28E-11,,pegged_powerlaw,
00032898201pc,58555.85176,0.07233029421,decay,HS,3.92E-10,1.61E-11,1.68E-11,,pegged_powerlaw,
00032898202wt,58558.10024,0.07830925281,decay,HS,3.49E-10,2.27E-11,2.40E-11,,pegged_powerlaw,
00032898202pc,58558.1018,0.08056210545,decay,HS,4.00E-10,1.57E-11,1.63E-11,,pegged_powerlaw,
00032898204wt,58561.50793,0.1332720551,decay,HS,3.71E-10,2.26E-11,2.41E-11,,pegged_powerlaw,
00032898204pc,58561.51417,0.144735563,decay,HS,3.37E-10,1.29E-11,1.34E-11,,pegged_powerlaw,
00032898205wt,58569.58639,0.3336217034,decay,HS,2.68E-10,3.19E-11,3.67E-11,,pegged_powerlaw,
00032898205pc,58569.59023,0.3411892833,decay,HS,3.40E-10,1.37E-11,1.43E-11,,pegged_powerlaw,
00032898206wt,58575.30149,0.07161575899,decay,HS,2.76E-10,1.72E-11,1.83E-11,,pegged_powerlaw,
00032898206pc,58575.30499,0.07695456365,decay,HS,2.51E-10,1.33E-11,1.41E-11,,pegged_powerlaw,
00032898207wt,58582.33601,0.6073210848,decay,HS,2.61E-10,4.20E-11,4.96E-11,,pegged_powerlaw,
00032898207pc,58582.33676,0.6083054669,decay,HS,2.45E-10,1.04E-11,1.08E-11,,pegged_powerlaw,
00032898208pc,58589.14494,0.01233336227,decay,HS,1.57E-10,1.00E-11,1.08E-11,,pegged_powerlaw,
00032898209pc,58597.11295,0.01105649537,decay,HS,1.21E-10,9.29E-12,1.01E-11,,pegged_powerlaw,
00032898211pc,58611.56058,0.3365941468,decay,HS,6.03E-11,5.58E-12,6.12E-12,,pegged_powerlaw,
00032898212pc,58617.043,0.01065021991,decay,HS,3.62E-11,3.10E-12,3.40E-12,,pegged_powerlaw,
00032898213pc,58624.14691,0.008386693393,decay,HS,2.57E-11,2.82E-12,3.14E-12,,pegged_powerlaw,
00032898215pc,58634.99234,0.1925401332,decay,HS,1.68E-11,1.66E-12,1.82E-12,,pegged_powerlaw,
00032898216pc,58638.14908,0.01236246076,decay,HS,1.59E-11,1.75E-12,1.96E-12,,pegged_powerlaw,
00032898217pc,58653.76709,0.1401543727,peak/trough,HS,1.43E-11,1.39E-12,1.53E-12,,pegged_powerlaw,
