t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59730.97968,0.0,2.8000000000000015e-09,2.811907226421235e-10,3.125818339941262e-10,False,1A 1744-361,1654038686,L,0.01042,rise,1.24,0.0648459713474939,18.251,-0.2,-0.1,False,IMS,NS,8.0,"(""uniform"", 1, 9)",1.2156633851305906e+29,6.357328470998042e+27,2.144567463688039e+37,2.153687410247233e+36,2.394117253299066e+36
59733.93079,0.0,3.5354210228457252e-09,3.2632856219593606e-10,3.4185119833582964e-10,False,1A 1744-361,1654290075,L,0.01042,unclear,1.062,0.056067905257821085,19.546,-0.3,-0.1,False,SS,NS,8.0,"(""uniform"", 1, 9)",1.0411568669424897e+29,5.496749959911614e+27,2.7078388914405806e+37,2.499405774848224e+36,2.618296276334952e+36
59759.97549,0.0,2.9809032729407472e-09,3.8122764536922705e-10,4.385896540446776e-10,False,1A 1744-361,1656540372,L,0.01042,decay,0.087,0.01851816675591836,18.539,,,False,SS,NS,8.0,"(""uniform"", 1, 9)",8.529251169867853e+27,1.8154723616864906e+27,2.2831243469821104e+37,2.919887158990164e+36,3.359232507051457e+36
59763.94295,0.0,2.95499164176258e-09,2.6849912956617614e-10,2.95714053850106e-10,False,1A 1744-361,1656880661,L,0.01042,decay,0.086,0.017535392781457736,16.482,,,False,SS,NS,8.0,"(""uniform"", 1, 9)",8.431213800099255e+27,1.719123786153341e+27,2.263278189426474e+37,2.056480347486358e+36,2.264924065865106e+36
59775.8317,0.0,3.1917778285783106e-09,2.404539166797591e-10,2.7044234098253157e-10,False,1A 1744-361,1657909279,L,0.01042,decay,0.102,0.033999999999999996,18.663,,,True,SS,NS,8.0,"(""uniform"", 1, 9)",9.999811716396794e+27,3.333270572132265e+27,2.444636743746393e+37,1.8416773079563062e+36,2.0713637331241544e+36
59782.84483,0.0,2.3653440251335273e-09,1.9290003708801302e-10,2.0920604297930406e-10,False,1A 1744-361,1658516479,L,0.01042,decay,0.121,0.04033333333333333,17.985,,,True,SS,NS,8.0,"(""uniform"", 1, 9)",1.1862521742000117e+28,3.954173914000039e+27,1.8116570845465226e+37,1.4774540831541733e+36,1.6023445463583455e+36
59797.93867,0.0,1.8047969448478512e-09,1.8585747137800403e-10,2.1071038989022866e-10,False,1A 1744-361,1659823064,L,0.01042,decay,0.081,0.027,20.234,,,True,SS,NS,8.0,"(""uniform"", 1, 9)",7.941026951256277e+27,2.647008983752092e+27,1.3823245737443842e+37,1.423513878573565e+36,1.613866594355733e+36
59804.66341,0.0,9.163951048457109e-10,8.328949531247498e-11,9.06766541554115e-11,False,1A 1744-361,1660404079,L,0.01042,decay,0.093,0.031,20.663,,,True,HS,NS,8.0,"(""uniform"", 1, 9)",9.11747538847943e+27,3.039158462826476e+27,7.018825449053928e+36,6.379283632647543e+35,6.945078650635294e+35
59811.75657,0.0,1.322996716216565e-10,1.2481351661679895e-11,1.3532105164098259e-11,False,1A 1744-361,1661015807,L,0.01042,decay,0.051,0.016999999999999998,18.485,,,True,HS,NS,8.0,"(""uniform"", 1, 9)",4.999905858198397e+27,1.6666352860661324e+27,1.0133056114872006e+36,9.55967881303119e+34,1.0364468732189286e+35
60527.74826,0.0,1.3676151706314414e-09,1.0956767777943268e-10,1.2513477690023056e-10,False,1A 1744-361,1722873075,L,0.01037,,0.085,0.020446576730592338,18.591,,,False,HS,NS,8.0,"(""uniform"", 1, 9)",8.333176430330662e+27,2.0045286034390518e+27,1.0474796420651263e+37,8.391974172772362e+35,9.584284682717712e+35
60533.68431,0.0,5.575664271344707e-10,5.49646154466715e-11,6.549675538807235e-11,False,1A 1744-361,1723387076,L,0.01037,,0.115,0.03833333333333334,20.391,,,True,HS,NS,8.0,"(""uniform"", 1, 9)",1.1274297523388543e+28,3.7580991744628477e+27,4.270495780276332e+36,4.209833069323452e+35,5.016507520799791e+35
60539.72062,0.0,9.225896970153213e-11,1.1608086328909894e-11,1.3500355963195714e-11,False,1A 1744-361,1723909876,L,0.01036,,0.088,0.029333333333333333,20.169,,,True,HS,NS,8.0,"(""uniform"", 1, 9)",8.627288539636448e+27,2.875762846545483e+27,7.066270880545938e+35,8.890830091665028e+34,1.0340151481027253e+35
60546.63713,0.0,4.963000000000007e-12,8.758793181711746e-13,1.0635822610793152e-12,False,1A 1744-361,1724507539,L,0.01046,,0.057,0.019,22.982,,,True,HS,NS,8.0,"(""uniform"", 1, 9)",5.588130076809973e+27,1.8627100256033243e+27,3.8012458293870525e+34,6.708508170954157e+33,8.146156828808769e+33
