t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59392.013,0.0,1.6133961628563428e-07,1.5137287583138212e-08,1.699030444117024e-08,False,4U 1543-47,1624752089,L,0.0104,decay,0.25,0.03528809997718778,,-0.31,0.63,False,SS,BH,5.0,"(""gauss"", 5, 1.6)",9.573961891464457e+27,1.351387697615134e+27,4.827060430944253e+38,4.52886920190948e+37,5.083266476379475e+37
59421.6822,0.0,7.119846010040725e-08,7.461751916346885e-09,8.136225038912743e-09,False,4U 1543-47,1627313073,L,0.0104,decay,0.066,0.022000000000000002,,,,True,SS,BH,5.0,"(""gauss"", 5, 1.6)",2.527525939346617e+27,8.425086464488724e+26,2.1301604491632862e+38,2.2324540153333424e+37,2.4342471394665475e+37
59426.823,0.0,6.83697823653603e-08,5.545868046905376e-09,5.993178908457636e-09,False,4U 1543-47,1627759641,L,0.0104,decay,0.066,0.022000000000000002,,,,True,SS,BH,5.0,"(""gauss"", 5, 1.6)",2.527525939346617e+27,8.425086464488724e+26,2.0455302840427443e+38,1.6592477917550776e+37,1.793077077446936e+37
59645.2352,0.0,1.110775334982111e-10,1.0078999557989083e-11,1.130776639239277e-11,False,4U 1543-47,1646629276,L,0.0104,decay,5.895,0.2954277618978961,,-0.13,0.02,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",2.2575402140073187e+29,1.131365653636437e+28,3.323287727217936e+35,3.0154986772585805e+34,3.383128891198465e+34
59654.2191,0.0,2.7869046557181197e-10,2.452727120597552e-11,2.764675191420704e-11,False,4U 1543-47,1647406582,L,0.0104,decay,5.832,0.2925056580649339,,-0.3,0.02,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",2.233413830040829e+29,1.1201752093405643e+28,8.338037177809421e+35,7.338223744613221e+34,8.271529664043443e+34
59657.0687,0.0,4.030100491173218e-10,3.845148291790012e-11,4.389110420055977e-11,False,4U 1543-47,1647652872,L,0.0104,decay,6.872,0.34458229786220884,,-0.39,0.02,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",2.63169064472575e+29,1.3196071152824168e+28,1.205750891289518e+36,1.1504157253946007e+35,1.313161746845171e+35
59666.0582,0.0,3.2269526868946586e-10,3.442866867493671e-11,4.065066337316365e-11,False,4U 1543-47,1648429574,L,0.0104,decay,6.871,0.344253689159608,,-0.26,0.02,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",2.6313076862500913e+29,1.3183486804040551e+28,9.654600640590093e+35,1.0300586308365632e+35,1.2162121937419336e+35
59673.0362,0.0,7.659468125696938e-11,9.197543928610315e-12,1.067581649129786e-11,False,4U 1543-47,1649032478,L,0.0104,decay,4.111,0.2065207071942182,,0.11,0.03,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",1.5743422934324153e+29,7.908885521902939e+27,2.2916079982596616e+35,2.751779220862045e+34,3.1940581327485467e+34
59679.039,0.0,5.008231183339101e-11,5.369132442870865e-12,5.930322519512778e-12,False,4U 1543-47,1649551118,L,0.0104,decay,2.08,0.10630145812734651,,-0.05,0.07,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",7.965536293698428e+28,4.07090443647328e+27,1.4983942029041404e+35,1.6063709186959725e+34,1.7742713064346505e+34
59685.1738,0.0,4.8225926500625047e-11,5.21486602427205e-12,5.9659116260286e-12,False,4U 1543-47,1650081167,L,0.0104,decay,2.145,0.10928660713920989,,-0.07,0.06,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",8.214459302876505e+28,4.1852232479929724e+27,1.4428536953048439e+35,1.5602165182960427e+34,1.7849190798575802e+34
59706.0027,0.0,1.0951306576351609e-10,1.1202802016087176e-11,1.2789478936204967e-11,False,4U 1543-47,1651880770,L,0.0104,decay,7.413,0.3712444242005528,,-0.46,0.02,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",2.8388711800570405e+29,1.4217119878859029e+28,3.2764809944916996e+35,3.351724986863744e+34,3.8264369983410537e+34
59727.0882,0.0,2.5902015252800127e-11,3.119036499293217e-12,3.4989994511836244e-12,False,4U 1543-47,1653701376,L,0.0104,decay,0.472,0.032953907203850656,,-0.19,0.25,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",1.807564005108489e+28,1.2619978069780887e+27,7.749528341951235e+34,9.33173018197499e+33,1.046852731371471e+34
59742.9194,0.0,5.161125205279632e-10,5.2174321525056454e-11,5.944014182837444e-11,False,4U 1543-47,1655070377,L,0.0104,decay,29.886,1.4944927199555038,,-0.43,0.004,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",1.1445097003532268e+30,5.723286539170022e+28,1.5441380010132456e+36,1.5609842687309505e+35,1.7783676646503105e+35
59747.8676,0.0,2.242450248340004e-10,4.29782239914811e-11,4.6573622520239385e-11,False,4U 1543-47,1655498179,L,0.0104,decay,5.285,0.26500577823889054,,-0.24,0.02,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",2.0239355438555863e+29,1.0148620887508076e+28,6.709104131597564e+35,1.2858496208039483e+35,1.3934190223631958e+35
59763.8678,0.0,3.057921399660279e-11,3.4945100442815323e-12,4.078355789179813e-12,False,4U 1543-47,1656880661,L,0.0104,decay,1.436,0.07453348240891472,,-0.49,0.08,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",5.499283710457183e+28,2.854322880884343e+27,9.148882171075364e+34,1.0455095622903486e+34,1.2201882157950304e+34
59769.8216,0.0,4.296463503996105e-12,7.474758117696043e-13,9.038508238811361e-13,False,4U 1543-47,1657395077,L,0.0104,decay,0.204,0.02068912757948,,-0.22,0.53,False,HS,BH,5.0,"(""gauss"", 5, 1.6)",7.812352903434996e+27,7.923076760543512e+26,1.285443057978955e+34,2.236345292710516e+33,2.704197919814609e+33
