t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
58942.151,0.0,1.616493998798298e-08,1.2761203325514013e-09,1.2479900894253503e-09,False,4U 1630-47,1585883785,L,0.01,rise,0.54,0.04036087214122113,,,,False,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",1.0939591815662946e+29,8.176508639798542e+27,2.5584178992074837e+38,2.0197100037298014e+37,1.9751883924053865e+37
58957.114,0.0,1.9926055751282202e-08,1.8977305045123033e-09,1.887715593418182e-09,False,4U 1630-47,1587176616,L,0.01,decay,0.3,0.04272001872658766,,,,False,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",6.077551008701636e+28,8.654436430117519e+27,3.1536880268398488e+38,3.0035296723808896e+37,2.9876791169063753e+37
58964.171,0.0,1.9600414927625528e-08,1.914816976576987e-09,1.9096545674641552e-09,False,4U 1630-47,1587786356,L,0.01,decay,0.6,0.19999999999999998,,,,True,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",1.2155102017403272e+29,4.051700672467757e+28,3.1021489977698216e+38,3.030572356113147e+37,3.0224018340529856e+37
58970.991,0.0,1.554519453588967e-08,1.4039279474684202e-09,1.3891780457768275e-09,False,4U 1630-47,1588375604,L,0.01,decay,0.3,0.09999999999999999,,,,True,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",6.077551008701636e+28,2.0258503362338784e+28,2.4603310607307146e+38,2.221990550333624e+37,2.19864594619196e+37
58978.144,0.0,1.288623260165901e-08,1.1657092885735556e-09,1.1536607584376907e-09,False,4U 1630-47,1588992355,L,0.01,decay,0.45,0.15,,,,True,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",9.116326513052455e+28,3.0387755043508184e+28,2.0394983319421e+38,1.8449629329747605e+37,1.8258937776412716e+37
58986.144,0.0,1.0382498228432653e-08,9.746595231071344e-10,9.697888957674312e-10,False,4U 1630-47,1589683557,L,0.01,decay,0.6,0.19999999999999998,,,,True,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",1.2155102017403272e+29,4.051700672467757e+28,1.6432334005482766e+38,1.5425893145313593e+37,1.5348805941924473e+37
59477.639,0.0,4.903332881536022e-09,4.260445085175806e-10,4.2000061772502053e-10,False,4U 1630-47,1632148282,L,0.01,rise,1.77,0.10164767582192917,,-0.1,0.4,False,HS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",3.585755095133966e+29,2.0592297824124756e+28,7.760483255254988e+37,6.742987584616707e+36,6.647331192473982e+36
59484.385,0.0,8.34958677352868e-09,7.205398908114487e-10,7.099800033702131e-10,False,4U 1630-47,1632745869,L,0.01,rise,5.14,0.26009421369957464,,-0.7,0.4,False,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",1.0412870728242136e+30,5.269119502757696e+28,1.3214854041067987e+38,1.1403952969299185e+37,1.1236822098022473e+37
59491.616,0.0,2.412695661106222e-08,2.0027065683550515e-09,1.9670950338623267e-09,False,4U 1630-47,1633356072,L,0.01,decay,1.84,0.09676776322722357,,-1.0,0.4,False,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",3.727564618670337e+29,1.9603700567047122e+28,3.81856274709536e+38,3.169674824124905e+37,3.113312606057803e+37
59496.616,0.0,2.704179181154398e-08,2.5600831816882605e-09,2.5453596998101797e-09,False,4U 1630-47,1633788074,L,0.01,decay,2.58,0.138351002887583,,-1.4,0.5,False,SS,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",5.226693867483408e+29,2.802784257181044e+28,4.279892424514291e+38,4.051832323757704e+37,4.0285295341379824e+37
