t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
58396.6422,0.0,6.76724484980497e-13,1.7351400113462505e-13,2.3642660416523293e-13,False,GX 339-4,1538751352,L,0.02249048509,quiescence,0.08319,0.02773,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.274084871686525e+28,4.246949572288417e+27,8.09709351910448e+33,2.0761168322460658e+33,2.828874034881949e+33
58402.68382,0.0,6.678227685083746e-13,1.5648650143464135e-13,2.1292208216464775e-13,False,GX 339-4,1539273852,L,0.01037037037,quiescence,0.08241,0.027469999999999998,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.262138890199381e+28,4.2071296339979365e+27,7.990583362674414e+33,1.8723806581792077e+33,2.5476394749028292e+33
58403.6191,0.0,6.837835687730113e-13,1.6657096218324003e-13,2.31001075035176e-13,False,GX 339-4,1539354654,L,0.01036598486,quiescence,0.1344,0.0448,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",2.058384502400155e+28,6.861281674667185e+27,8.181556343925766e+33,1.9930424985343638e+33,2.763956896915584e+33
58509.36449,0.0,7.090846742814558e-10,5.819765604882217e-11,6.756134973558069e-11,False,GX 339-4,1548489789,L,0.01036598533,peak/trough,4.16,0.2144988578058168,,0.034,0.0013,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.371190126476672e+29,3.285127415848422e+28,8.484287251385852e+36,6.963422693854063e+35,8.083800412536979e+35
58515.18948,0.0,6.008567999251514e-10,5.6867479482742016e-11,6.049305228756747e-11,False,GX 339-4,1548991875,L,0.01036598485,decay,4.22,0.21792487237577998,,-0.02,0.0024,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.463082291762392e+29,3.3375980653708128e+28,7.189327131741085e+36,6.804265395846992e+35,7.238069738863185e+35
58523.24712,0.0,5.991790374886794e-10,3.564929127513471e-11,3.6832051355722656e-11,False,GX 339-4,1549688122,L,0.01027343188,decay,4.0,0.21002097514296045,,-0.08,0.0016,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.126144352381415e+29,3.216547026884212e+28,7.169252493313683e+36,4.265482508038409e+35,4.407001238271145e+35
58537.11945,0.0,6.133346742168496e-10,4.305894716469228e-11,4.410108546674944e-11,False,GX 339-4,1550886965,L,0.01036598486,decay,3.42,0.17965803628003954,,-6.92e-06,0.0033,False,HS,BH,10.0,"(""uniform"", 8, 12)",5.237853421286109e+29,2.7515276607922484e+28,7.338626465963376e+36,5.1520571482904174e+35,5.276750305976898e+35
58543.10406,0.0,4.5197671786367407e-10,3.2740088815813374e-11,3.60291781360508e-11,False,GX 339-4,1551404170,L,0.01036598486,decay,3.03,0.15950630081598657,,0.047,0.0022,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.640554346928921e+29,2.442896559782768e+28,5.407958237399288e+36,3.917392777255099e+35,4.310936448420148e+35
58551.05809,0.0,4.1136164896470697e-10,2.54135344857947e-11,2.663443977790983e-11,False,GX 339-4,1552093390,L,0.01036598486,decay,3.01,0.1601664446755312,,-0.02,0.0017,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.6099236251670136e+29,2.453006901225039e+28,4.921993833186418e+36,3.040761343050811e+35,3.186844195786821e+35
58560.10035,0.0,3.596953842430018e-10,2.1995206875340942e-11,2.3638256562793484e-11,False,GX 339-4,1552872672,L,0.006848954581,decay,2.85,0.15721071846410475,,,,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.3648778510717586e+29,2.40773888763175e+28,4.3038004819490795e+36,2.631754148024039e+35,2.828347108248051e+35
