t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59657.09335,0.0,4.993148951576584e-09,5.459232997044144e-10,7.159479565624254e-10,False,IGR J17091-3624,1647652872,L,0.005183,rise,3.98,0.2000024999843752,20.0,,,False,HS,candidateBH,14.0,"(""uniform"", 11, 17)",1.1949529907669744e+30,6.0048639577186144e+28,1.1712033356295976e+38,1.280528972422985e+37,1.6793423208381245e+37
59666.08307,0.0,5.580197342090511e-09,5.046084352737973e-10,5.528192598081613e-10,False,IGR J17091-3624,1648429574,L,0.005183,peak/trough,5.667,0.28445073826587264,25.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.7014569343408152e+30,8.540333176298453e+28,1.3089026191506318e+38,1.1836199727085967e+37,1.296704278936376e+37
59673.06093,0.0,5.942476064335272e-09,5.329326614163718e-10,5.928982956667413e-10,False,IGR J17091-3624,1649032478,L,0.005183,peak/trough,5.15,0.2582755311677821,20.0,-0.9,0.2,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.546233141319075e+30,7.754450211328396e+28,1.3938794648316964e+38,1.250057862823683e+37,1.3907144936157635e+37
59679.06407,0.0,5.512679563376986e-09,4.27911535090539e-10,4.839992660065952e-10,False,IGR J17091-3624,1649551118,L,0.005183,peak/trough,1.35,0.07069123000768908,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",4.0532325063703905e+29,2.122429565796084e+28,1.2930655094608412e+38,1.0037181388193443e+37,1.1352786794197577e+37
59685.19836,0.0,5.9303684446901225e-09,5.4159368133476e-10,6.03182481399862e-10,False,IGR J17091-3624,1650081167,L,0.005183,decay,1.57,0.08126038395183721,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",4.713759285186306e+29,2.4397572571387064e+28,1.3910394765492605e+38,1.2703733301104492e+37,1.414837292177705e+37
59715.02642,0.0,5.084387645248085e-09,4.954302597448339e-10,5.468792082548707e-10,False,IGR J17091-3624,1652658233,L,0.005183,decay,0.075,0.022317313906471806,22.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",2.2517958368724396e+28,6.700537939302482e+27,1.1926044721474276e+38,1.1620914545354673e+37,1.2827711712712642e+37
59742.94477,0.0,6.139526876828556e-09,6.26733121919893e-10,6.749445344279676e-10,False,IGR J17091-3624,1655070377,L,0.005183,decay,0.066,0.02125770448566825,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.981580336447747e+28,6.382401394972313e+27,1.4401001105842702e+38,1.4700781612180023e+37,1.5831638466090671e+37
59763.89324,0.0,5.466599997585889e-09,5.410126613856667e-10,6.011276958248473e-10,False,IGR J17091-3624,1656880661,L,0.005133,decay,0.064,0.018282231811242302,18.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.9215324474644816e+28,5.489047130838972e+27,1.282256991292791e+38,1.2690104777120033e+37,1.4100175446740764e+37
59811.7387,0.0,3.6047310105719027e-09,3.5948240468533134e-10,3.9784979878424195e-10,False,IGR J17091-3624,1661015807,L,0.005183,decay,2.079,0.10625254114608272,22.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",6.241978059810402e+29,3.1901203974648884e+28,8.455331544427908e+37,8.432093565617945e+36,9.332047089613477e+36
59846.76785,0.0,1.946619610114704e-09,1.605439608405551e-10,1.7488473951283791e-10,False,IGR J17091-3624,1664039818,L,0.023786,decay,0.354,0.02596709456215693,19.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.0628476350037912e+29,7.796346057431723e+27,4.566031181281814e+37,3.765752319330978e+36,4.1021325871617645e+36
