t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59657.09335,0.0,4.987050360674986e-09,5.440671669578896e-10,7.139854860431976e-10,False,IGR J17091-3624,1647652872,L,0.005183,rise,3.98,0.2000024999843752,20.0,,,False,HS,candidateBH,14.0,"(""uniform"", 11, 17)",1.1949529907669744e+30,6.0048639577186144e+28,1.169772837545951e+38,1.2761751890987065e+37,1.674739109436893e+37
59666.08307,0.0,5.5773030577673284e-09,5.042518358939814e-10,5.526253832912889e-10,False,IGR J17091-3624,1648429574,L,0.005183,peak/trough,5.667,0.28445073826587264,25.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.7014569343408152e+30,8.540333176298453e+28,1.308223729839208e+38,1.1827835258347415e+37,1.2962495181722504e+37
59673.06093,0.0,5.9467050216896655e-09,5.332588327593643e-10,5.930887950435727e-10,False,IGR J17091-3624,1649032478,L,0.005183,peak/trough,5.15,0.2582755311677821,20.0,-0.9,0.2,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.546233141319075e+30,7.754450211328396e+28,1.3948714178072103e+38,1.250822937065618e+37,1.3911613328904256e+37
59679.06407,0.0,5.511238553706176e-09,4.2774015760634145e-10,4.836819531685103e-10,False,IGR J17091-3624,1649551118,L,0.005183,peak/trough,1.35,0.07069123000768908,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",4.0532325063703905e+29,2.122429565796084e+28,1.2927275032548386e+38,1.0033161522511675e+37,1.1345343838699808e+37
59685.19836,0.0,5.9259646859153905e-09,5.409658641633053e-10,6.02002161001948e-10,False,IGR J17091-3624,1650081167,L,0.005183,decay,1.57,0.08126038395183721,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",4.713759285186306e+29,2.4397572571387064e+28,1.3900065217913927e+38,1.2689007091802422e+37,1.4120687082629154e+37
59715.02642,0.0,5.084694287870253e-09,4.958606552690671e-10,5.460811536155707e-10,False,IGR J17091-3624,1652658233,L,0.005183,decay,0.075,0.022317313906471806,22.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",2.2517958368724396e+28,6.700537939302482e+27,1.1926763988745114e+38,1.1631009991705468e+37,1.2808992378187928e+37
59742.94477,0.0,6.144878907919108e-09,6.275078557983369e-10,6.746876839649954e-10,False,IGR J17091-3624,1655070377,L,0.005183,decay,0.066,0.02125770448566825,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.981580336447747e+28,6.382401394972313e+27,1.4413554940559905e+38,1.4718953930119232e+37,1.5825613728557134e+37
59763.89324,0.0,5.468604317113677e-09,5.411956108706356e-10,6.013518895213608e-10,False,IGR J17091-3624,1656880661,L,0.005133,decay,0.064,0.018282231811242302,18.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.9215324474644816e+28,5.489047130838972e+27,1.2827271286228361e+38,1.2694396078043062e+37,1.4105434180412245e+37
59811.7387,0.0,3.6037134402032467e-09,3.593699358001984e-10,3.978429177887433e-10,False,IGR J17091-3624,1661015807,L,0.005183,decay,2.079,0.10625254114608272,22.0,,,False,IMS,candidateBH,14.0,"(""uniform"", 11, 17)",6.241978059810402e+29,3.1901203974648884e+28,8.452944710344717e+37,8.429455472208361e+36,9.331885687561213e+36
59846.76785,0.0,1.949689410890037e-09,1.6054502893811931e-10,1.755622100523203e-10,False,IGR J17091-3624,1664039818,L,0.023786,decay,0.354,0.02596709456215693,19.0,,,False,IMS,candidateBH,14.0,"(""uniform"", 11, 17)",1.0628476350037912e+29,7.796346057431723e+27,4.573231769412984e+37,3.76577737284815e+36,4.1180234761243706e+36
59852.54584,0.0,1.7374012873126502e-09,1.3555600673687806e-10,1.392340436206609e-10,False,IGR J17091-3624,1664539279,L,0.005183,decay,0.77,0.04338490520907013,20.0,,,False,HS,candidateBH,14.0,"(""uniform"", 11, 17)",2.3118437258557044e+29,1.3025859857718603e+28,4.075284360153586e+37,3.179629704512024e+36,3.2659024976658315e+36
59859.72204,0.0,1.515595569175599e-09,1.348859514150683e-10,1.426902160162078e-10,False,IGR J17091-3624,1665159058,L,0.023786,decay,0.895,0.04901594128444338,20.0,,,False,HS,candidateBH,14.0,"(""uniform"", 11, 17)",2.6871430320011112e+29,1.4716519003292472e+28,3.555012284429093e+37,3.163912748427385e+36,3.3469711915388105e+36
59867.4988,0.0,1.383389983308181e-09,1.3658005696543893e-10,1.52396239427876e-10,False,IGR J17091-3624,1665831672,L,0.015827,decay,0.446,0.03203576126768334,23.0,,,False,HS,candidateBH,14.0,"(""uniform"", 11, 17)",1.3390679243268107e+29,9.618399180481157e+27,3.2449081304004123e+37,3.2036500382768337e+36,3.5746376822781947e+36
59873.63233,0.0,1.272571880218537e-09,1.0752108056534849e-10,1.1989098165369773e-10,False,IGR J17091-3624,1666360876,L,0.023786,decay,0.73,0.041620307543313514,20.0,,,False,HS,candidateBH,14.0,"(""uniform"", 11, 17)",2.1917479478891744e+29,1.2496058034051196e+28,2.9849708979135775e+37,2.5220366832612282e+36,2.812187639232777e+36
59986.25469,0.0,3.5e-11,1.1666666666666672e-11,0.0,True,IGR J17091-3624,1676104286,L,0.005183,decay,0.069,0.023000000000000003,23.0,,,True,QS,candidateBH,14.0,"(""uniform"", 11, 17)",2.0716521699226445e+28,6.905507233075483e+27,8.20967232193077e+35,2.736557440643591e+35,0.0
