t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59657.09335,0.0,4.8836538296716615e-09,4.6322389552174837e-10,4.6066767524865494e-10,False,IGR J17091-3624,1647652872,L,0.005183,rise,3.98,0.2000024999843752,20.0,,,False,HS,candidateBH,14.0,"(""uniform"", 11, 17)",1.1949529907669744e+30,6.0048639577186144e+28,1.1455199335813326e+38,1.086547541120528e+37,1.0805516180277355e+37
59666.08307,0.0,5.616021790141891e-09,5.041100985602188e-10,4.986776476683407e-10,False,IGR J17091-3624,1648429574,L,0.005183,peak/trough,5.667,0.28445073826587264,25.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.7014569343408152e+30,8.540333176298453e+28,1.317305675711085e+38,1.1824510638158916e+37,1.1697085947509486e+37
59673.06093,0.0,5.84711790572176e-09,4.685503986421803e-10,4.5888105011668323e-10,False,IGR J17091-3624,1649032478,L,0.005183,peak/trough,5.15,0.2582755311677821,20.0,-0.9,0.2,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.546233141319075e+30,7.754450211328396e+28,1.3715120581048497e+38,1.0990414969035243e+37,1.0763608732004174e+37
59679.06407,0.0,5.45072192300827e-09,4.120859010454619e-10,4.0169127421142936e-10,False,IGR J17091-3624,1649551118,L,0.005183,peak/trough,1.35,0.07069123000768908,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",4.0532325063703905e+29,2.122429565796084e+28,1.27853259731035e+38,9.665972045916658e+36,9.422153531013356e+36
59685.19836,0.0,5.9192871060010246e-09,4.714926683053717e-10,4.6154323753871044e-10,False,IGR J17091-3624,1650081167,L,0.005183,decay,1.57,0.08126038395183721,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",4.713759285186306e+29,2.4397572571387064e+28,1.3884402148485226e+38,1.105942945422827e+37,1.0826053550273913e+37
59715.02642,0.0,5.074881883124861e-09,4.651820600949979e-10,4.61024671029897e-10,False,IGR J17091-3624,1652658233,L,0.005183,decay,0.075,0.022317313906471806,22.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",2.2517958368724396e+28,6.700537939302482e+27,1.190374780941659e+38,1.091140652405897e+37,1.0813889947089666e+37
59742.94477,0.0,6.102628311471952e-09,5.814819109660501e-10,5.784963262639776e-10,False,IGR J17091-3624,1655070377,L,0.005183,decay,0.066,0.02125770448566825,21.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.981580336447747e+28,6.382401394972313e+27,1.431445106849211e+38,1.363935985760398e+37,1.3569329365908595e+37
59763.89324,0.0,5.46102484828943e-09,5.454651703075035e-10,5.452904069886488e-10,False,IGR J17091-3624,1656880661,L,0.005133,decay,0.064,0.018282231811242302,18.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.9215324474644816e+28,5.489047130838972e+27,1.2809492727536545e+38,1.2794543746430757e+37,1.2790444461911642e+37
59811.7387,0.0,3.6263950511742593e-09,3.400937186848112e-10,3.3776738572878127e-10,False,IGR J17091-3624,1661015807,L,0.005183,decay,2.079,0.10625254114608272,22.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",6.241978059810402e+29,3.1901203974648884e+28,8.5061471657177235e+37,7.977308540426297e+36,7.92274159390997e+36
59846.76785,0.0,1.946066863656343e-09,1.4602590588651843e-10,1.4223969424894658e-10,False,IGR J17091-3624,1664039818,L,0.023786,decay,0.354,0.02596709456215693,19.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.0628476350037912e+29,7.796346057431723e+27,4.564734647767457e+37,3.425213822404051e+36,3.3364036598727764e+36
59852.54584,0.0,1.7335779196814306e-09,1.249058826727558e-10,1.2128866309689135e-10,False,IGR J17091-3624,1664539279,L,0.005183,decay,0.77,0.04338490520907013,20.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",2.3118437258557044e+29,1.3025859857718603e+28,4.0663161900339893e+37,2.9298181937853006e+36,2.8449719439729564e+36
59859.72204,0.0,1.5154733629867834e-09,1.1911906469034594e-10,1.164343246278133e-10,False,IGR J17091-3624,1665159058,L,0.023786,decay,0.895,0.04901594128444338,20.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",2.6871430320011112e+29,1.4716519003292472e+28,3.5547256350674105e+37,2.79408139543604e+36,2.73110757777046e+36
59867.4988,0.0,1.3785350396625902e-09,1.2748680867595184e-10,1.264143426602028e-10,False,IGR J17091-3624,1665831672,L,0.015827,decay,0.446,0.03203576126768334,23.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",1.3390679243268107e+29,9.618399180481157e+27,3.233520274265629e+37,2.990356927423558e+36,2.965200942950111e+36
59873.63233,0.0,1.2662498010565326e-09,1.0513679609833807e-10,1.0321873622862236e-10,False,IGR J17091-3624,1666360876,L,0.023786,decay,0.73,0.041620307543313514,20.0,,,False,SS,candidateBH,14.0,"(""uniform"", 11, 17)",2.1917479478891744e+29,1.2496058034051196e+28,2.9701416983954736e+37,2.4661104141285856e+36,2.421120005487982e+36
59986.25469,0.0,3.5e-11,1.1666666666666672e-11,0.0,True,IGR J17091-3624,1676104286,L,0.005183,decay,0.069,0.023000000000000003,23.0,,,True,HS,candidateBH,14.0,"(""uniform"", 11, 17)",2.0716521699226445e+28,6.905507233075483e+27,8.20967232193077e+35,2.736557440643591e+35,0.0
