t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59349.94,0.0,1.5092181235965004e-08,1.4944734527091683e-09,1.4926039072595025e-09,False,MAXI J1803-298,1621113378,L,,peak/trough,20.657,1.0331288024733412,,-0.45,0.01,False,IMS,candidateBH,8.0,"(""uniform"", 6, 12)",2.0251579473098877e+30,1.0128523042666572e+29,1.1559357440976308e+38,1.1446425507234304e+37,1.1432106341722738e+37
59356.05,0.0,9.915949752170546e-09,7.366360476251571e-10,7.170276831818445e-10,False,MAXI J1803-298,1621641679,L,,unclear,2.125,0.10811596783084357,,,,False,IMS,candidateBH,8.0,"(""uniform"", 6, 12)",2.083294107582665e+29,1.0599405116122042e+28,7.594794003596576e+37,5.642020358273798e+36,5.491836571126422e+36
59361.98,0.0,1.1627817349959887e-08,8.372876087798358e-10,8.130342938399328e-10,False,MAXI J1803-298,1622155550,L,,unclear,1.863,0.09527288439005088,,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",1.8264361987889437e+29,9.340302995868117e+27,8.905942415154013e+37,6.412927726922838e+36,6.227167476541785e+36
59370.93,0.0,6.703830463617187e-09,6.572602433713261e-10,6.556415076145029e-10,False,MAXI J1803-298,1622926875,L,,decay,8.374,0.4192262992704538,,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",8.209649344422231e+29,4.109984371829757e+28,5.134577390840755e+37,5.0340676182493825e+36,5.0216694466908414e+36
59377.99,0.0,6.7988845865578806e-09,6.130044361136683e-10,6.063311667594537e-10,False,MAXI J1803-298,1623537075,L,,decay,4.041,0.20294137700331102,,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",3.961690112348965e+29,1.989583881862165e+28,5.207380954893617e+37,4.695104888520734e+36,4.6439931873297515e+36
59384.94,0.0,3.6369895273919058e-09,3.4387306809619894e-10,3.418129690887537e-10,False,MAXI J1803-298,1624136593,L,,decay,1.034,0.057869594779987876,,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",1.0137064034072827e+29,5.673382861804484e+27,2.785631930792434e+37,2.6337821195631763e+36,2.6180034720512366e+36
59392.07,0.0,5.218922624210172e-09,4.25758394662186e-10,4.1752848289994195e-10,False,MAXI J1803-298,1624752089,L,,decay,0.314,0.02542616762313975,,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",3.078373410733915e+28,2.492714597068056e+27,3.9972613054951884e+37,3.2609557163734817e+36,3.19792142710801e+36
59399.94,0.0,5.479777847397966e-09,5.043461223681775e-10,4.99948268669509e-10,False,MAXI J1803-298,1625431872,L,,decay,0.161,0.022490053356984282,,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",1.5784016532743957e+28,2.2048656770741216e+27,4.1970547427743398e+37,3.86287244452864e+36,3.8291885375564093e+36
59407.05,0.0,3.792362630081947e-09,3.568171128547965e-10,3.545165420930726e-10,False,MAXI J1803-298,1626045690,L,,decay,0.073,0.024333333333333332,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",7.156727993107508e+27,2.3855759977025025e+27,2.904634823921478e+37,2.7329227525553546e+36,2.7153022911142655e+36
59421.72,0.0,2.2163862407514723e-09,1.9729452659530802e-10,1.949787011818563e-10,False,MAXI J1803-298,1627313073,L,,decay,0.069,0.023000000000000003,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",6.764578514033126e+27,2.2548595046777089e+27,1.6975677924576607e+37,1.5111122232143995e+36,1.493374923809862e+36
59448.65,0.0,1.980677026880623e-09,1.623934342124496e-10,1.5932551016748687e-10,False,MAXI J1803-298,1629643583,L,,decay,0.068,0.02266666666666667,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",6.66654114426453e+27,2.2221803814215098e+27,1.517034109972336e+37,1.243798840459226e+36,1.2203010901453214e+36
59454.66,0.0,1.8842312994118024e-09,1.7436926054181002e-10,1.7291965775285343e-10,False,MAXI J1803-298,1630162277,L,,decay,0.067,0.022333333333333334,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",6.568503774495934e+27,2.1895012581653113e+27,1.4431646924218518e+37,1.3355237243761008e+36,1.324420970888716e+36
59462.73,0.0,1.857456865678445e-09,1.5404811198061342e-10,1.5126929835933567e-10,False,MAXI J1803-298,1630859622,L,,decay,0.068,0.02266666666666667,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",6.66654114426453e+27,2.2221803814215098e+27,1.4226576997635553e+37,1.1798806028435532e+36,1.1585971982726769e+36
59470.62,0.0,1.0716335164940387e-09,8.149345247399791e-11,7.944405035382251e-11,False,MAXI J1803-298,1631541977,L,,decay,0.069,0.023000000000000003,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",6.764578514033126e+27,2.2548595046777089e+27,8.207822758823977e+36,6.2417216671194055e+35,6.084754484728639e+35
59477.66,0.0,8.701963455683862e-10,6.670587622634106e-11,6.504422555328438e-11,False,MAXI J1803-298,1632148282,L,,peak/trough,0.469,0.03215435429300361,,-0.82,0.25,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",4.597952642147153e+28,3.152328321493638e+27,6.664981320450691e+36,5.109116135421873e+35,4.981847493655706e+35
59484.57,0.0,6.654172026178324e-10,5.1369686835388815e-11,5.013500333309104e-11,False,MAXI J1803-298,1632745869,L,,unclear,0.09,0.02245551157288562,,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",8.82336327917364e+27,2.201479291413974e+27,5.096543151830407e+36,3.934491393107806e+35,3.839924890715656e+35
59491.64,0.0,4.986336607733782e-10,3.740434415953059e-11,3.641544337382024e-11,False,MAXI J1803-298,1633356072,L,,unclear,0.069,0.023000000000000003,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",6.764578514033126e+27,2.2548595046777089e+27,3.81911973283659e+36,2.8648621244685353e+35,2.7891205369738942e+35
59496.64,0.0,4.4251338110868927e-10,4.1955716780623694e-11,4.168836925724394e-11,False,MAXI J1803-298,1633788074,L,,unclear,0.073,0.024333333333333332,,,,True,SS,candidateBH,8.0,"(""uniform"", 6, 12)",7.156727993107508e+27,2.3855759977025025e+27,3.3892849977581423e+36,3.213459468694136e+35,3.1929828686892144e+35
59510.54,0.0,1.6383900885508085e-11,2.1211097526928258e-12,2.6660463030533702e-12,False,MAXI J1803-298,1634986873,L,,rise,0.103,0.020652421165567973,,-0.47,1.14,False,HS,candidateBH,8.0,"(""uniform"", 6, 12)",1.0097849086165389e+28,2.0247090504255661e+27,1.2548707416910811e+35,1.6245939151915767e+34,2.041970056505013e+34
59518.61,0.0,4.100314279954575e-12,6.178197184682314e-13,7.748370324305051e-13,False,MAXI J1803-298,1635685270,L,,decay,0.087,0.02144580378535624,,-0.55,0.18,False,HS,candidateBH,8.0,"(""uniform"", 6, 12)",8.529251169867853e+27,2.1024901956897259e+27,3.140500212745009e+34,4.7319859523281165e+33,5.934608176468051e+33
