t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
60141.74886,0.0,5.569032523464039e-10,5.532597051686628e-11,5.527576449370735e-11,False,MAXI J1807+132,1689525980,L,0.0104167,decay,0.135,0.020163395051429212,0.02,,,False,IMS,NS,6.3,"(""uniform"", 4.2, 8.4)",8.207795825400042e+27,1.2259039239186116e+27,2.645224646852153e+36,2.627918228267019e+35,2.6255335014886982e+35
60146.75236,0.0,2.554343096492231e-10,1.3456317359772577e-11,1.3173531889529785e-11,False,MAXI J1807+132,1689958275,L,0.0104167,decay,0.212,0.07066666666666667,0.022,,,True,HS,NS,6.3,"(""uniform"", 4.2, 8.4)",1.2889279370257844e+28,4.296426456752615e+27,1.213282789584974e+36,6.391591750624969e+34,6.257271993556534e+34
60153.81543,0.0,2.2942576419401057e-11,2.2540744285276063e-12,2.2320381546513307e-12,False,MAXI J1807+132,1690568489,L,0.0104167,decay,0.135,0.045000000000000005,0.019,,,True,SS,NS,6.3,"(""uniform"", 4.2, 8.4)",8.207795825400042e+27,2.7359319418000143e+27,1.0897452717539435e+35,1.0706587201741823e+34,1.060191750456065e+34
60160.8526,0.0,1.3336430353706446e-10,1.2685508901058907e-11,1.261351349767376e-11,False,MAXI J1807+132,1691176395,L,0.0104167,decay,0.111,0.037,0.017,,,True,QS,NS,6.3,"(""uniform"", 4.2, 8.4)",6.748632123106703e+27,2.2495440410355674e+27,6.334646839287626e+35,6.025466840346434e+34,5.9912698744116765e+34
60169.72614,0.0,1.4173431405204905e-12,6.200444132905732e-13,7.080711445279594e-13,False,MAXI J1807+132,1691942477,L,0.0104167,unclear,0.088,0.029333333333333333,0.019,,,True,Unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",5.350266908408917e+27,1.7834223028029726e+27,6.732212449029785e+33,2.945137700792237e+33,3.363254273230796e+33
60174.67028,0.0,4.6154296240037786e-11,5.3493275358241026e-12,4.967945350910281e-12,False,MAXI J1807+132,1692369676,L,0.0104167,unclear,0.114,0.038,0.024,,,True,Unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",6.931027585893371e+27,2.3103425286311234e+27,2.192274537055897e+35,2.540867373682556e+34,2.359715342130611e+34
60191.65661,0.0,1.2707850436204652e-11,3.302561998966858e-12,4.125227853036479e-12,False,MAXI J1807+132,1693837274,L,0.0104167,unclear,0.143,0.04766666666666666,0.021,,,True,Unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",8.694183726164488e+27,2.8980612420548293e+27,6.0360788055606865e+34,1.5686779275604745e+34,1.95943448790375e+34
60195.62164,0.0,4.059927476025293e-13,2.2027956970573472e-13,4.3713267045704795e-13,False,MAXI J1807+132,1694179874,L,0.0104167,unclear,0.14,0.04666666666666667,0.021,,,True,Unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",8.511788263377823e+27,2.837262754459274e+27,1.9284175803904706e+33,1.0463019286178514e+33,2.076328534562113e+33
60210.63898,0.0,1.3129921002279816e-12,4.744127098152909e-13,6.951858573033776e-13,False,MAXI J1807+132,1695478381,L,0.0104167,unclear,0.104,0.034666666666666665,0.017,,,True,Unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",6.32304270993781e+27,2.1076809033126032e+27,6.236557337404202e+33,2.2534043166311724e+33,3.302050681395724e+33
60223.59141,0.0,1.884396000818069e-12,5.232981658804436e-13,6.841372820174837e-13,False,MAXI J1807+132,1696597476,L,0.0104167,unclear,0.166,0.05533333333333334,0.022,,,True,Unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",1.0092548940862275e+28,3.3641829802874255e+27,8.950658350066599e+33,2.485604456801507e+33,3.249571254249788e+33
60231.52607,0.0,8.643071871053835e-13,4.243788991653557e-13,7.071144551693287e-13,False,MAXI J1807+132,1697283077,L,0.0104167,unclear,0.142,0.04733333333333333,0.023,,,True,Unclear,NS,6.3,"(""uniform"", 4.2, 8.4)",8.633385238568932e+27,2.877795079522978e+27,4.10535701515441e+33,2.015749627868792e+33,3.3587101118164595e+33
