t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
60070.16022,0.0,1.781190225902068e-10,1.678701011149024e-11,1.8686994543235408e-11,False,MAXI J1810-222,1683339854,L,0.01036598486,,0.2,0.022360679774997897,21.05,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",1.9607473953719202e+28,2.192182231378635e+27,1.364243787538829e+36,1.2857455606322883e+35,1.4312685889835199e+35
60078.96848,0.0,1.547659464446621e-10,1.5661559445972207e-11,1.6874767456755416e-11,False,MAXI J1810-222,1684103257,L,0.01036598532,,0.24,0.0233238075793812,20.39,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",2.352896874446304e+28,2.286604748071377e+27,1.185378618686099e+36,1.1995453863731444e+35,1.2924670444664072e+35
60086.06257,0.0,1.4786202616941327e-10,1.5272734810154706e-11,1.7200296465234726e-11,False,MAXI J1810-222,1684711875,L,0.01036598485,,0.11,0.020742468512691542,21.68,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",1.078411067454556e+28,2.0335370554922002e+27,1.132500322992546e+36,1.1697646484069101e+35,1.3173998630403842e+35
60091.1179,0.0,1.3752903902198352e-10,1.3197636155141365e-11,1.4889376191999026e-11,False,MAXI J1810-222,1685152874,L,0.01036598486,,0.1,0.011180339887498949,12.84,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",9.803736976859601e+27,1.0960911156893175e+27,1.0533582228529585e+36,1.0108293248538951e+35,1.1404025619990144e+35
60106.96526,0.0,1.5231258437744655e-10,1.6225407267322695e-11,1.7976544352339825e-11,False,MAXI J1810-222,1686520945,L,0.01036598485,,0.11,0.020742468512691542,19.1,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",1.078411067454556e+28,2.0335370554922002e+27,1.16658790273611e+36,1.2427314468067033e+35,1.3768540045561763e+35
60160.81992,0.0,1.2800839181442e-10,1.3372000059122998e-11,1.4557358910099898e-11,False,MAXI J1810-222,1691176395,L,0.01036598533,,0.08,0.02039607805437114,20.44,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",7.842989581487682e+27,1.9995778460455303e+27,9.80437972015126e+35,1.024184151829632e+35,1.1149727955653355e+35
60191.62486,0.0,4.272668751482085e-10,3.5931207239052435e-11,3.8328160387071396e-11,False,MAXI J1810-222,1693837274,L,0.01036598486,,0.51,0.03240756084619761,20.52,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 25)",4.999905858198397e+28,3.1771520259769496e+27,3.272509424123239e+36,2.7520320705679983e+35,2.9356187753260724e+35
60195.58998,0.0,6.745099604290211e-10,5.855324210274195e-11,6.55567330073778e-11,False,MAXI J1810-222,1694179874,L,0.01036598485,,0.09,0.030335622624235024,25.64,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 25)",8.82336327917364e+27,2.9740246523727155e+27,5.166186125248516e+36,4.484692068106748e+35,5.02110130833236e+35
60203.61979,0.0,6.091505192000649e-10,4.777388940978863e-11,5.3436873272154334e-11,False,MAXI J1810-222,1694873611,L,0.01036598485,,0.58,0.035227829907617074,21.82,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 25)",5.686167446578569e+28,3.453643786798261e+27,4.6655870855897665e+36,3.659083172930829e+35,4.0928207064529686e+35
60218.51362,0.0,4.880433259165925e-10,5.08574321787594e-11,5.345939375866901e-11,False,MAXI J1810-222,1696160474,L,0.01036598486,,0.17,0.03118092365533773,24.85,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 25)",1.6666352860661324e+28,3.056895742124708e+27,3.738006562967218e+36,3.8952569406174444e+35,4.094545588690318e+35
60223.57193,0.0,3.3565769983160107e-10,2.6878255955945436e-11,2.9863313496205416e-11,False,MAXI J1810-222,1696597476,L,0.01045853829,,0.09,0.030335622624235024,25.33,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 25)",8.82336327917364e+27,2.9740246523727155e+27,2.570859221411491e+36,2.058651185849993e+35,2.287281802924214e+35
60231.50682,0.0,3.9646937506597334e-11,4.0891723708437924e-12,4.6416682076776155e-12,False,MAXI J1810-222,1697283077,L,0.01036598486,,0.15,0.030923292192132454,24.65,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",1.47056054652894e+28,3.031638231102427e+27,3.0366261504114852e+35,3.131966435687026e+34,3.555132362650209e+34
60239.47201,0.0,6.915099999999995e-11,8.22266434983205e-12,9.332364923276345e-12,False,MAXI J1810-222,1697970076,L,0.01036598486,,0.09,0.030335622624235024,25.25,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 25)",8.82336327917364e+27,2.9740246523727155e+27,5.296392310053264e+35,6.297878010527632e+34,7.147816490614987e+34
