t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
60070.16022,0.0,1.781190225902068e-10,1.678701011149024e-11,1.8686994543235408e-11,False,MAXI J1810-222,1683339854,L,0.01036598486,,0.2,0.022360679774997897,21.05,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",1.9603661927620522e+28,2.1917560339042023e+27,1.363978555365866e+36,1.2854955898484452e+35,1.4309903260502985e+35
60078.96848,0.0,1.547659464446621e-10,1.5661559445972207e-11,1.6874767456755416e-11,False,MAXI J1810-222,1684103257,L,0.01036598532,,0.24,0.0233238075793812,20.39,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",2.3524394313144625e+28,2.286160193255311e+27,1.1851481609411637e+36,1.1993121743678551e+35,1.2922157669118982e+35
60086.06257,0.0,1.4786202616941327e-10,1.5272734810154706e-11,1.7200296465234726e-11,False,MAXI J1810-222,1684711875,L,0.01036598485,,0.11,0.020742468512691542,21.68,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",1.0782014060191285e+28,2.0331417013355932e+27,1.1322801456867798e+36,1.1695372262831033e+35,1.3171437381222961e+35
60091.1179,0.0,1.3752903902198352e-10,1.3197636155141365e-11,1.4889376191999026e-11,False,MAXI J1810-222,1685152874,L,0.01036598486,,0.1,0.011180339887498949,12.84,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",9.801830963810261e+27,1.0958780169521012e+27,1.0531534321162092e+36,1.0106328024575502e+35,1.1401808483637138e+35
60106.96526,0.0,1.5231258437744655e-10,1.6225407267322695e-11,1.7976544352339825e-11,False,MAXI J1810-222,1686520945,L,0.01036598485,,0.11,0.020742468512691542,19.1,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",1.0782014060191285e+28,2.0331417013355932e+27,1.1663610982256394e+36,1.2424898386974656e+35,1.3765863207427574e+35
60160.81992,0.0,1.2800839181442e-10,1.3372000059122998e-11,1.4557358910099898e-11,False,MAXI J1810-222,1691176395,L,0.01036598533,,0.08,0.02039607805437114,20.44,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",7.841464771048209e+27,1.99918909413626e+27,9.802473582141701e+35,1.0239850330280033e+35,1.1147560259087214e+35
60191.62486,0.0,4.272668751482085e-10,3.5931207239052435e-11,3.8328160387071396e-11,False,MAXI J1810-222,1693837274,L,0.01036598486,,0.51,0.03240756084619761,20.52,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 17)",4.998933791543232e+28,3.176534333638247e+27,3.2718731926860645e+36,2.7514970287720903e+35,2.93504804115533e+35
60195.58998,0.0,6.745099604290211e-10,5.855324210274195e-11,6.55567330073778e-11,False,MAXI J1810-222,1694179874,L,0.01036598485,,0.09,0.030335622624235024,25.64,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 17)",8.821647867429233e+27,2.973446451446899e+27,5.165181730884072e+36,4.483820167766677e+35,5.020125120921546e+35
60203.61979,0.0,6.091505192000649e-10,4.777388940978863e-11,5.3436873272154334e-11,False,MAXI J1810-222,1694873611,L,0.01036598485,,0.58,0.035227829907617074,21.82,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 17)",5.685061959009952e+28,3.452972339763223e+27,4.664680016184604e+36,3.658371784988385e+35,4.0920249925641194e+35
60218.51362,0.0,4.880433259165925e-10,5.08574321787594e-11,5.345939375866901e-11,False,MAXI J1810-222,1696160474,L,0.01036598486,,0.17,0.03118092365533773,24.85,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 17)",1.6663112638477446e+28,3.0563014296509324e+27,3.7372798309767176e+36,3.894499636481595e+35,4.0937495394550544e+35
60223.57193,0.0,3.3565769983160107e-10,2.6878255955945436e-11,2.9863313496205416e-11,False,MAXI J1810-222,1696597476,L,0.01045853829,,0.09,0.030335622624235024,25.33,,,False,SS,candidateBH,8.0,"(""uniform"", 6, 17)",8.821647867429233e+27,2.973446451446899e+27,2.570359402695873e+36,2.058250949079715e+35,2.28683711647718e+35
60231.50682,0.0,3.9646937506597334e-11,4.0891723708437924e-12,4.6416682076776155e-12,False,MAXI J1810-222,1697283077,L,0.01036598486,,0.15,0.030923292192132454,24.65,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",1.4702746445715389e+28,3.031048829117959e+27,3.036035778690751e+35,3.1313575281948513e+34,3.554441184511573e+34
60239.47201,0.0,6.915099999999995e-11,8.22266434983205e-12,8.27670354791075e-12,False,MAXI J1810-222,1697970076,L,0.01036598486,,0.09,0.030335622624235024,25.25,,,False,HS,candidateBH,8.0,"(""uniform"", 6, 17)",8.821647867429233e+27,2.973446451446899e+27,5.295362601394084e+35,6.29665359603145e+34,6.33803508704608e+34
