t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59378.0052,0.0,2.9329924518521697e-10,3.5427440166130046e-11,3.9638887988659e-11,False,SAX J1810.8-2609,1623537075,L,0.0104167,rise,0.05,0.016194134740701648,15,,,False,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.8389666001124923e+27,5.956094581174341e+26,8.427617433340918e+35,1.0179668623905769e+35,1.1389779855741273e+35
59384.9575,0.0,2.5422336697393136e-10,2.7336171408531217e-11,3.153075178366044e-11,False,SAX J1810.8-2609,1624136593,L,0.0104167,rise,0.091,0.030333333333333334,18,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.346919212204737e+27,1.115639737401579e+27,7.304816888018767e+35,7.85473534300609e+34,9.059999907279522e+34
59392.0794,0.0,3.50053731178354e-10,3.4819129537355807e-11,3.988590619421607e-11,False,SAX J1810.8-2609,1624752089,L,0.0104167,rise,0.108,0.036,20,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.9721678562429835e+27,1.3240559520809943e+27,1.0058392498152344e+36,1.0004877541279323e+35,1.1460757704122394e+35
59399.9485,0.0,4.672285742921665e-10,5.3908762367711736e-11,6.259154795848895e-11,False,SAX J1810.8-2609,1625431872,L,0.0104167,rise,0.093,0.031,16,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.420477876209236e+27,1.1401592920697453e+27,1.3425277230335507e+36,1.5490064601191115e+35,1.798496346015632e+35
59407.0643,0.0,3.4318757733986765e-10,4.0649539826981813e-11,4.633729268870792e-11,False,SAX J1810.8-2609,1626045690,L,0.0104167,rise,0.141,0.04699999999999999,26,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",5.185885812317228e+27,1.7286286041057425e+27,9.861101442211553e+35,1.1680179070587827e+35,1.3314489624089165e+35
59433.8542,0.0,8.013523551451848e-10,8.511866132569408e-11,9.333082526414987e-11,False,SAX J1810.8-2609,1628363787,L,0.0104167,decay,0.105,0.034999999999999996,19,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.861829860236235e+27,1.2872766200787447e+27,2.3025940875523108e+36,2.4457871128787238e+35,2.6817542253391686e+35
59462.7406,0.0,2.99033143403794e-10,4.359900255342712e-11,4.8983157015196964e-11,False,SAX J1810.8-2609,1630859622,L,0.0104167,decay,0.058,0.019333333333333334,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.1332012561304912e+27,7.110670853768304e+26,8.592374422597289e+35,1.2527673358433087e+35,1.4074748393595804e+35
59470.6371,0.0,1.4363034495170388e-10,1.4164397256854629e-11,1.529764041577773e-11,False,SAX J1810.8-2609,1631541977,L,0.0104167,decay,0.074,0.024666666666666667,22,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.7216705681664884e+27,9.072235227221628e+26,4.127053236387803e+35,4.069977104075105e+34,4.395601528929098e+34
59477.6687,0.0,1.5178310150459069e-10,1.5651644329038707e-11,1.653150967222322e-11,False,SAX J1810.8-2609,1632148282,L,0.0104167,decay,0.045,0.015,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.6550699401012433e+27,5.516899800337477e+26,4.3613133457566634e+35,4.497320493428481e+34,4.750139708852362e+34
59484.585,0.0,1.8806116996088458e-10,2.0303521359603673e-11,2.379750260477336e-11,False,SAX J1810.8-2609,1632745869,L,0.0104167,decay,0.13,0.043333333333333335,26,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",4.7813131602924804e+27,1.5937710534308268e+27,5.4037220365022735e+35,5.833984007028396e+34,6.837939446291914e+34
59491.6485,0.0,1.8224556872640348e-10,2.0936141524891693e-11,2.1510999140985543e-11,False,SAX J1810.8-2609,1633356072,L,0.0104167,decay,0.052,0.017333333333333333,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.912525264116992e+27,6.375084213723306e+26,5.236617404786903e+35,6.015760156172507e+34,6.180938899268895e+34
59496.6492,0.0,5.4212483034535525e-11,6.56052158496855e-12,7.712388164930645e-12,False,SAX J1810.8-2609,1633788074,L,0.0104167,decay,0.058,0.019333333333333334,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.1332012561304912e+27,7.110670853768304e+26,1.557733525151187e+35,1.885090636574099e+34,2.2160662878766148e+34
59510.5502,0.0,4.41823742713877e-13,1.8297861501068945e-13,3.1620871224543546e-13,False,SAX J1810.8-2609,1634986873,L,0.0104167,decay,0.04,0.013333333333333334,16,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.471173280089994e+27,4.903910933633314e+26,1.269529853105492e+33,5.257680649054692e+32,9.085894695061529e+32
