t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59378.0052,0.0,2.9329926445075155e-10,3.542671407259477e-11,3.963793363973016e-11,False,SAX J1810.8-2609,1623537075,L,0.0104167,rise,0.05,0.016194134740701648,15,,,False,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.8386090737584722e+27,5.95493661518427e+26,8.42597951477871e+35,1.0177480929268703e+35,1.1387291321100631e+35
59384.9575,0.0,2.542233767136895e-10,2.7335859837505352e-11,3.1530380524962866e-11,False,SAX J1810.8-2609,1624136593,L,0.0104167,rise,0.091,0.030333333333333334,18,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.346268514240419e+27,1.1154228380801398e+27,7.303396987301683e+35,7.853118740035489e+34,9.058131833164709e+34
59392.0794,0.0,3.5005371655455056e-10,3.481887661385708e-11,3.9885576983037605e-11,False,SAX J1810.8-2609,1624752089,L,0.0104167,rise,0.108,0.036,20,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.9713955993182996e+27,1.3237985331060997e+27,1.0056436555626138e+36,1.0002859762549106e+35,1.1458434961422655e+35
59399.9485,0.0,4.672285989275229e-10,5.390783779790471e-11,6.259039065734892e-11,False,SAX J1810.8-2609,1625431872,L,0.0104167,rise,0.093,0.031,16,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.419812877190758e+27,1.1399376257302526e+27,1.3422667836056274e+36,1.5486787456551175e+35,1.7981134405107692e+35
59407.0643,0.0,3.431876156530677e-10,4.064848441060903e-11,4.633591397844401e-11,False,SAX J1810.8-2609,1626045690,L,0.0104167,rise,0.141,0.04699999999999999,26,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",5.18487758799889e+27,1.7282925293329633e+27,9.859185377207269e+35,1.1677605042480554e+35,1.3311504981509243e+35
59433.8542,0.0,8.013523673707826e-10,8.511722612439618e-11,9.332911283098366e-11,False,SAX J1810.8-2609,1628363787,L,0.0104167,decay,0.105,0.034999999999999996,19,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.8610790548927915e+27,1.2870263516309305e+27,2.3021464592589896e+36,2.4452703794604138e+35,2.6811836515136687e+35
59462.7406,0.0,2.990331731180736e-10,4.359730072190973e-11,4.898099731304769e-11,False,SAX J1810.8-2609,1630859622,L,0.0104167,decay,0.058,0.019333333333333334,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.1327865255598277e+27,7.109288418532758e+26,8.59070477265122e+35,1.2524748859168752e+35,1.4071391578360753e+35
59470.6371,0.0,1.4363032554092695e-10,1.4164516151310594e-11,1.5297174073270675e-11,False,SAX J1810.8-2609,1631541977,L,0.0104167,decay,0.074,0.024666666666666667,22,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.7211414291625383e+27,9.070471430541796e+26,4.126250309475492e+35,4.069219987687201e+34,4.39461297718411e+34
59477.6687,0.0,1.5178313770907707e-10,1.5651177990896787e-11,1.6531059791969283e-11,False,SAX J1810.8-2609,1632148282,L,0.0104167,decay,0.045,0.015,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.654748166382625e+27,5.515827221275416e+26,4.360466472428762e+35,4.496312167042457e+34,4.749086958181025e+34
59484.585,0.0,1.8806110861337504e-10,2.030308711221889e-11,2.3796927873287506e-11,False,SAX J1810.8-2609,1632745869,L,0.0104167,decay,0.13,0.043333333333333335,26,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",4.780383591772028e+27,1.5934611972573426e+27,5.402669698712951e+35,5.832725029661616e+34,6.83644492428161e+34
59491.6485,0.0,1.8224573725583296e-10,2.093595909314013e-11,2.1511223152046266e-11,False,SAX J1810.8-2609,1633356072,L,0.0104167,decay,0.052,0.017333333333333333,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.9121534367088106e+27,6.373844789029368e+26,5.2356041589433884e+35,6.014538180700568e+34,6.179801574218059e+34
59496.6492,0.0,5.4212461909925556e-11,6.56025275526061e-12,7.712155484583233e-12,False,SAX J1810.8-2609,1633788074,L,0.0104167,decay,0.058,0.019333333333333334,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.1327865255598277e+27,7.109288418532758e+26,1.5574300684121042e+35,1.884646912807996e+34,2.215568601904828e+34
59510.5502,0.0,4.418238748955237e-13,1.8296414526755576e-13,3.161667104805152e-13,False,SAX J1810.8-2609,1634986873,L,0.0104167,decay,0.04,0.013333333333333334,16,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.4708872590067778e+27,4.902957530022593e+26,1.2692834146656841e+33,5.2562427759592374e+32,9.082921604841298e+32
