t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59378.0052,0.0,3.0838845182356017e-10,3.084632543941775e-11,3.453291194717874e-11,False,SAX J1810.8-2609,1623537075,L,0.0104167,rise,0.05,0.016194134740701648,15,,,False,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.8389666001124923e+27,5.956094581174341e+26,8.86118848068637e+35,8.863337846763991e+34,9.922636199294899e+34
59384.9575,0.0,2.6232777631596926e-10,2.5420372830732923e-11,2.5599687206885498e-11,False,SAX J1810.8-2609,1624136593,L,0.0104167,rise,0.091,0.030333333333333334,18,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.346919212204737e+27,1.115639737401579e+27,7.537687795732007e+35,7.304252593457016e+34,7.355776522935859e+34
59392.0794,0.0,3.492418332110777e-10,3.402999326062251e-11,3.374338029572492e-11,False,SAX J1810.8-2609,1624752089,L,0.0104167,rise,0.108,0.036,20,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.9721678562429835e+27,1.3240559520809943e+27,1.0035063541206715e+36,9.778128282552815e+34,9.695773334176895e+34
59399.9485,0.0,4.544832496638473e-10,4.788235594431584e-11,4.749969240135418e-11,False,SAX J1810.8-2609,1625431872,L,0.0104167,rise,0.093,0.031,16,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.420477876209236e+27,1.1401592920697453e+27,1.3059054944412536e+36,1.3758445830671045e+35,1.3648491850266794e+35
59407.0643,0.0,3.4845501391499916e-10,4.109318945719664e-11,4.08766542491526e-11,False,SAX J1810.8-2609,1626045690,L,0.0104167,rise,0.141,0.04699999999999999,26,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",5.185885812317228e+27,1.7286286041057425e+27,1.0012455191115894e+36,1.180765670373116e+35,1.1745437795084067e+35
59433.8542,0.0,7.967412810130458e-10,8.105231156723501e-11,7.77089702308172e-11,False,SAX J1810.8-2609,1628363787,L,0.0104167,decay,0.105,0.034999999999999996,19,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",3.861829860236235e+27,1.2872766200787447e+27,2.2893446948653638e+36,2.328945216157135e+35,2.2328781372438875e+35
59462.7406,0.0,2.9437184137636967e-10,4.0844905908983624e-11,4.068632124798475e-11,False,SAX J1810.8-2609,1630859622,L,0.0104167,decay,0.058,0.019333333333333334,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.1332012561304912e+27,7.110670853768304e+26,8.45843725476182e+35,1.1736315273649731e+35,1.1690747790076744e+35
59470.6371,0.0,1.487701868775235e-10,1.3200120736097773e-11,1.2828624757149178e-11,False,SAX J1810.8-2609,1631541977,L,0.0104167,decay,0.074,0.024666666666666667,22,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.7216705681664884e+27,9.072235227221628e+26,4.274740699379055e+35,3.7929033048650203e+34,3.686158195902121e+34
59477.6687,0.0,1.5282987245785962e-10,1.4124085783643252e-11,1.3689304149823417e-11,False,SAX J1810.8-2609,1632148282,L,0.0104167,decay,0.045,0.015,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.6550699401012433e+27,5.516899800337477e+26,4.3913911085852495e+35,4.0583940645693156e+34,3.9334645484854065e+34
59484.585,0.0,1.8695426285702129e-10,1.6486610078649555e-11,1.5823884369104478e-11,False,SAX J1810.8-2609,1632745869,L,0.0104167,decay,0.13,0.043333333333333335,26,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",4.7813131602924804e+27,1.5937710534308268e+27,5.371916330354901e+35,4.737238325580394e+34,4.546811693566449e+34
59491.6485,0.0,1.4071192416033932e-10,1.2217623742900978e-11,1.1558661317404923e-11,False,SAX J1810.8-2609,1633356072,L,0.0104167,decay,0.052,0.017333333333333333,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.912525264116992e+27,6.375084213723306e+26,4.043195762006657e+35,3.510594061865043e+34,3.321248766362486e+34
59496.6492,0.0,5.1874263296554805e-11,6.082586735119404e-12,5.356459757300969e-12,False,SAX J1810.8-2609,1633788074,L,0.0104167,decay,0.058,0.019333333333333334,17,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",2.1332012561304912e+27,7.110670853768304e+26,1.4905474626219633e+35,1.7477615387768558e+34,1.5391172794567423e+34
59510.5502,0.0,4.771388809788833e-13,2.038991686603709e-13,2.5302616794337793e-13,False,SAX J1810.8-2609,1634986873,L,0.0104167,decay,0.04,0.013333333333333334,16,,,True,HS,NS,4.9,"(""gauss"", 4.9, 0.3)",1.471173280089994e+27,4.903910933633314e+26,1.3710038527112753e+33,5.8588087649550934e+32,7.270416746911347e+32
