t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
60191.66891,0.0,2.2720876905740328e-07,2.166177760597466e-08,2.4217671761667283e-08,False,Swift J1727.8-1613,1693837274,L,0.01041666667,peak/trough,91.58,4.579174707302616,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.242806767170117e+30,2.1214843236730485e+29,8.223708974710831e+38,7.840373223510471e+37,8.765466466776537e+37
60193.64001,0.0,2.3678464534540553e-07,2.022829501407017e-08,2.250075127943762e-08,False,Swift J1727.8-1613,1694011170,L,0.01041666667,peak/trough,95.57,4.778761581204905,0.05,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.427659344163005e+30,2.2139508599507246e+29,8.57030307887795e+38,7.321531292143006e+37,8.144035593436884e+37
60195.63401,0.0,2.218100429855295e-07,2.08969994671608e-08,2.2360347949442974e-08,False,Swift J1727.8-1613,1694179874,L,0.01041666667,peak/trough,86.64,4.332184668270733,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.013941671845588e+30,2.0070563908243824e+29,8.028304755791546e+38,7.563565560235941e+37,8.093217302851254e+37
60203.65151,0.0,2.0856544429231243e-07,2.0584351542695303e-08,2.225167599912644e-08,False,Swift J1727.8-1613,1694873611,L,0.01041666667,peak/trough,85.15,4.257687899552996,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.94491151151491e+30,1.9725428076787258e+29,7.548923059426058e+38,7.450404190935885e+37,8.053884028135453e+37
60359.14833,0.0,6.609283641561928e-09,6.056098464526453e-10,6.919878053661174e-10,False,Swift J1727.8-1613,1708313133,L,0.01041666667,decay,2.796253889,0.1411943292715451,0.01970403738,,,False,SS,BH,5.5,"('gauss',5.5,1.4)",1.2954755321003447e+29,6.541387374092129e+27,2.3921975117866297e+37,2.191974874080499e+36,2.504615622446359e+36
60365.12108,0.0,5.883274577576499e-09,5.561560830664683e-10,6.131101633039352e-10,False,Swift J1727.8-1613,1708829174,L,0.01041666667,decay,2.196233022,0.11155398141917605,0.0196390441,,,False,SS,BH,5.5,"('gauss',5.5,1.4)",1.017492064645564e+29,5.168180686504145e+27,2.12942212331956e+37,2.012979424442118e+36,2.219121899813271e+36
60407.93309,0.0,1.2908063189305712e-09,1.2850064389267937e-10,1.4514386560405932e-10,False,Swift J1727.8-1613,1712527817,L,0.01041666667,decay,0.8324338126,0.046926747174618255,0.02167381991,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.856579835466806e+28,2.174067705544349e+27,4.672009603168486e+36,4.6510172244688506e+35,5.2534103993616655e+35
60412.98246,0.0,1.0653299008803868e-09,1.0495052378836682e-10,1.1838508113929141e-10,False,Swift J1727.8-1613,1712964345,L,0.01041666667,decay,0.6590755078,0.03850920795507884,0.0199250542,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.053428723050798e+28,1.78409181164195e+27,3.8559088644525064e+36,3.798632279729225e+35,4.2848894357202125e+35
60421.94378,0.0,6.873096125550243e-10,5.147711197128055e-11,5.838177468006971e-11,False,Swift J1727.8-1613,1713738574,L,0.01041666667,decay,0.493943284,0.03156521144617621,0.01965738167,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",2.288388193877955e+28,1.4623836288599266e+27,2.4876831350403405e+36,1.863188597282797e+35,2.113099447648237e+35
60428.9921,0.0,1.58946439559804e-10,1.881482115090015e-11,2.0785564954108258e-11,False,Swift J1727.8-1613,1714347567,L,0.01041666667,decay,0.343160151,0.025490192799737285,0.0188508012,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",1.5898255196395707e+28,1.1809342925005056e+27,5.752987734272053e+35,6.809931421139185e+34,7.52323238960681e+34
