t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
60191.66891,0.0,2.298806455555654e-07,1.8521644011428636e-08,1.814606201354371e-08,False,Swift J1727.8-1613,1693837274,L,0.01041666667,peak/trough,91.58,4.579174707302616,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.2436318012983237e+30,2.1218968564763403e+29,8.32203416738256e+38,6.705120995579787e+37,6.569154515605001e+37
60193.64001,0.0,2.373771428623689e-07,1.8302993460704743e-08,1.786805809171425e-08,False,Swift J1727.8-1613,1694011170,L,0.01041666667,peak/trough,95.57,4.778761581204905,0.05,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.4285203237615276e+30,2.2143813733155484e+29,8.593418939998533e+38,6.625966121560546e+37,6.46851280518437e+37
60195.63401,0.0,2.2098117111651893e-07,1.7298571604493223e-08,1.6908552480336872e-08,False,Swift J1727.8-1613,1694179874,L,0.01041666667,peak/trough,86.64,4.332184668270733,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.014722202058166e+30,2.0074466725672322e+29,7.99985945722154e+38,6.262349907343954e+37,6.121156964836003e+37
60203.65151,0.0,2.0720351607710236e-07,1.9217627748674797e-08,1.9065216357074318e-08,False,Swift J1727.8-1613,1694873611,L,0.01041666667,peak/trough,85.15,4.257687899552996,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.9456786184816807e+30,1.972926378089775e+29,7.50108708033294e+38,6.957077850290514e+37,6.901902574210522e+37
60359.14833,0.0,6.616095207070955e-09,5.215112464069253e-10,5.100337079163634e-10,False,Swift J1727.8-1613,1708313133,L,0.01041666667,decay,2.796253889,0.1411943292715451,0.01970403738,,,False,SS,BH,5.5,"('gauss',5.5,1.4)",1.2957274435318316e+29,6.542659378245421e+27,2.3951285779120476e+37,1.8879512021483556e+36,1.846400741366821e+36
60365.12108,0.0,5.811868670138357e-09,5.112097975455503e-10,5.046983462389016e-10,False,Swift J1727.8-1613,1708829174,L,0.01041666667,decay,2.196233022,0.11155398141917605,0.0196390441,,,False,SS,BH,5.5,"('gauss',5.5,1.4)",1.0176899208583448e+29,5.169185664029896e+27,2.1039861590931877e+37,1.8506583673423977e+36,1.8270859086335675e+36
60407.93309,0.0,1.2959708226701592e-09,1.2456852278654519e-10,1.2402109876547522e-10,False,Swift J1727.8-1613,1712527817,L,0.01041666667,decay,0.8324338126,0.046926747174618255,0.02167381991,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.85732976591545e+28,2.174490463438483e+27,4.6916143984748977e+36,4.5095727841925954e+35,4.489755189734478e+35
60412.98246,0.0,1.0646533233128604e-09,9.392639669430565e-11,9.273531478379044e-11,False,Swift J1727.8-1613,1712964345,L,0.01041666667,decay,0.6590755078,0.03850920795507884,0.0199250542,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.0540224769129963e+28,1.784438736852839e+27,3.854209349210049e+36,3.400280526531766e+35,3.357161523052793e+35
60421.94378,0.0,6.763647558546984e-10,4.887467948495539e-11,4.7461672946349156e-11,False,Swift J1727.8-1613,1713738574,L,0.01041666667,decay,0.493943284,0.03156521144617621,0.01965738167,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",2.2888331819394292e+28,1.46266799637147e+27,2.4485448064724615e+36,1.7693388306383376e+35,1.718185813103533e+35
60428.9921,0.0,1.3548724050800747e-10,1.2376707110989239e-11,1.2149493941424791e-11,False,Swift J1727.8-1613,1714347567,L,0.01041666667,decay,0.343160151,0.025490192799737285,0.0188508012,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",1.590134668838103e+28,1.1811639308385091e+27,4.904847217681389e+35,4.480558996535563e+34,4.398304322340402e+34
60435.89846,0.0,7.608203513487091e-12,8.585499613878025e-13,8.362346273952232e-13,False,Swift J1727.8-1613,1714944288,L,0.01041666667,decay,0.2102163127,0.022390308319370063,0.0197698928,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",9.740998359089239e+27,1.0375215595648963e+27,2.754287097055124e+34,3.108083369005179e+33,3.0272984157987073e+33
60441.91332,0.0,7.834560044486683e-13,3.667593264278757e-13,5.591209297419686e-13,False,Swift J1727.8-1613,1715463973,L,0.01041666667,decay,0.1241061401,0.019854841989260234,0.01886024696,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",5.75082728614048e+27,9.20033182740533e+26,2.8362316548684296e+33,1.3277253673803696e+33,2.0241040605076367e+33
60448.93642,0.0,1.5093422380230704e-12,5.031140793410239e-13,0.0,True,Swift J1727.8-1613,1716070768,L,0.01041666667,decay,0.1215623415,0.019148509143841152,0.01815824593,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",5.63295280879763e+27,8.873031486160302e+26,5.464051853841489e+33,1.8213506179471643e+33,0.0
60455.92899,0.0,1.82416846117657e-13,8.913538524138062e-14,1.991817809895394e-13,False,Swift J1727.8-1613,1716674983,L,0.01041666667,decay,0.09147021046,0.018001238007772834,0.01741055919,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.238544376277643e+27,8.341409267582974e+26,6.603771372002552e+32,3.226838517478742e+32,7.210687889400382e+32
60463.89865,0.0,8.459999999999982e-14,4.196166822231912e-14,8.325741143246223e-14,False,Swift J1727.8-1613,1717363505,L,0.01041666667,decay,0.1055353986,0.0351784662,0.01761937102,,,True,HS,BH,5.5,"('gauss',5.5,1.4)",4.8902967204810494e+27,1.6300989068270165e+27,3.0626505718176513e+32,1.519077153374805e+32,3.0140467935187755e+32
