t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
60191.66891,0.0,2.2720876905740328e-07,2.166177760597466e-08,2.4217671761667283e-08,False,Swift J1727.8-163,1693837274,L,0.01041666667,peak/trough,91.58,4.579174707302616,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.2436318012983237e+30,2.1218968564763403e+29,8.225308114369294e+38,7.841897821693289e+37,8.76717095377809e+37
60193.64001,0.0,2.3678464534540553e-07,2.022829501407017e-08,2.250075127943762e-08,False,Swift J1727.8-163,1694011170,L,0.01041666667,peak/trough,95.57,4.778761581204905,0.05,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.4285203237615276e+30,2.2143813733155484e+29,8.571969615422547e+38,7.322954999023437e+37,8.145619240224175e+37
60195.63401,0.0,2.218100429855295e-07,2.08969994671608e-08,2.2360347949442974e-08,False,Swift J1727.8-163,1694179874,L,0.01041666667,peak/trough,86.64,4.332184668270733,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",4.014722202058166e+30,2.0074466725672322e+29,8.029865898162306e+38,7.565036331840816e+37,8.094791067778169e+37
60203.65151,0.0,2.0856544429231243e-07,2.0584351542695303e-08,2.225167599912644e-08,False,Swift J1727.8-163,1694873611,L,0.01041666667,peak/trough,85.15,4.257687899552996,0.04,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.9456786184816807e+30,1.972926378089775e+29,7.550390983726413e+38,7.451852957769676e+37,8.055450144518421e+37
60359.14833,0.0,6.609283641561928e-09,6.056098464526453e-10,6.919878053661174e-10,False,Swift J1727.8-163,1708313133,L,0.01041666667,decay,2.796253889,0.1411943292715451,0.01970403738,,,False,SS,BH,5.5,"('gauss',5.5,1.4)",1.2957274435318316e+29,6.542659378245421e+27,2.392662686067935e+37,2.1924011141094538e+36,2.505102656968541e+36
60365.12108,0.0,5.883274577576499e-09,5.561560830664683e-10,6.131101633039352e-10,False,Swift J1727.8-163,1708829174,L,0.01041666667,decay,2.196233022,0.11155398141917605,0.0196390441,,,False,SS,BH,5.5,"('gauss',5.5,1.4)",1.0176899208583448e+29,5.169185664029896e+27,2.12983619966607e+37,2.013370857947267e+36,2.219553418711601e+36
60407.93309,0.0,1.2908063189305712e-09,1.2850064389267937e-10,1.4514386560405932e-10,False,Swift J1727.8-163,1712527817,L,0.01041666667,decay,0.8324338126,0.046926747174618255,0.02167381991,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.85732976591545e+28,2.174490463438483e+27,4.672918097846997e+36,4.651921637078624e+35,5.254431950213919e+35
60412.98246,0.0,1.0653299008803868e-09,1.0495052378836682e-10,1.1838508113929141e-10,False,Swift J1727.8-163,1712964345,L,0.01041666667,decay,0.6590755078,0.03850920795507884,0.0199250542,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",3.0540224769129963e+28,1.784438736852839e+27,3.856658664427618e+36,3.799370941997687e+35,4.2857226530251845e+35
60421.94378,0.0,6.873096125550243e-10,5.147711197128055e-11,5.838177468006971e-11,False,Swift J1727.8-163,1713738574,L,0.01041666667,decay,0.493943284,0.03156521144617621,0.01965738167,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",2.2888331819394292e+28,1.46266799637147e+27,2.4881668769591227e+36,1.8635509032430728e+35,2.1135103499721646e+35
60428.9921,0.0,1.58946439559804e-10,1.881482115090015e-11,2.0785564954108258e-11,False,Swift J1727.8-163,1714347567,L,0.01041666667,decay,0.343160151,0.025490192799737285,0.0188508012,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",1.590134668838103e+28,1.1811639308385091e+27,5.754106430333504e+35,6.8112556449706035e+34,7.524695318233181e+34
60435.89846,0.0,7.611562328123064e-12,9.090894849626532e-13,1.0341498588634663e-12,False,Swift J1727.8-163,1714944288,L,0.01041666667,decay,0.2102163127,0.022390308319370063,0.0197698928,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",9.740998359089239e+27,1.0375215595648963e+27,2.755503039793362e+34,3.2910442446268196e+33,3.7437820999921334e+33
60441.91332,0.0,7.581268446540385e-13,3.756436703121666e-13,7.991139353321017e-13,False,Swift J1727.8-163,1715463973,L,0.01041666667,decay,0.1241061401,0.019854841989260234,0.01886024696,,,False,HS,BH,5.5,"('gauss',5.5,1.4)",5.75082728614048e+27,9.20033182740533e+26,2.7445361871040274e+33,1.359888063453003e+33,2.8929157813147985e+33
