t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59829.65461,0.0,6.596100165329256e-09,1.1900875098473006e-09,1.5002878457423543e-09,False,XTE J1701-462,1662564675,L,0.01036,,0.074,0.024666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.77655944499571e+27,2.9255198149985704e+27,6.111810093555559e+37,1.1027104914402187e+37,1.3901357118625767e+37
59831.70687,0.0,1.0105977740467713e-08,1.7142154969383966e-09,2.151546911076727e-09,False,XTE J1701-462,1662741220,L,0.01037,,0.069,0.023000000000000003,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.183548671685191e+27,2.727849557228397e+27,9.36399011708386e+37,1.5883566522817464e+37,1.9935789024241762e+37
59838.71566,0.0,1.917634048154418e-08,3.0666542578665803e-09,3.7577776637607474e-09,False,XTE J1701-462,1663346775,L,0.01037,rise,0.339,0.026216454756507412,,0.26,0.46,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",4.020613043045332e+28,3.109328021723349e+27,1.7768400778478694e+38,2.8414984577085354e+37,3.4818791223683814e+37
59842.59219,0.0,2.442728080628689e-08,4.297970777124486e-09,5.067658708190562e-09,False,XTE J1701-462,1663682476,L,0.01036,rise,2.62,0.13439121995130487,,-0.21,0.26,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",3.1073764521471303e+29,1.5939088253893526e+28,2.2633813563764744e+38,3.982410897200957e+37,4.695587827215439e+37
59846.7369,0.0,1.881483679546003e-08,3.4294701119689922e-09,4.207032905717686e-09,False,XTE J1701-462,1664039818,L,0.01037,rise,3.98,0.20021238722916224,,-2.53,0.2,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",4.720365755551747e+29,2.374562051542219e+28,1.7433438934042184e+38,3.17767612991258e+37,3.8981497449413325e+37
59852.53187,0.0,2.8087299359655968e-08,4.978928401981301e-09,6.317900087801697e-09,False,XTE J1701-462,1664539279,L,0.01036,decay,1.71,0.08996804988438951,,-0.08,0.59,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",2.0280968447219817e+29,1.067040456703627e+28,2.6025111114802636e+38,4.613372159244762e+37,5.854035651196707e+37
59859.69108,0.0,2.9165707293655464e-08,5.241041686979117e-09,6.2866905728779845e-09,False,XTE J1701-462,1665159058,L,0.01036,decay,1.31,0.06942081820318743,,-0.84,0.25,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.5536882260735651e+29,8.233458617304254e+27,2.7024341619310827e+38,4.856240912106506e+37,5.82511755966615e+37
59880.63565,0.0,1.4271198027524082e-08,2.4538890233997875e-09,2.902654009472105e-09,False,XTE J1701-462,1666968671,L,0.01037,,0.074,0.024666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.77655944499571e+27,2.9255198149985704e+27,1.3223397153702559e+38,2.273722855288292e+37,2.689539216890527e+37
59965.41679,0.0,9.58464894338368e-09,1.90993252235003e-09,2.4113309130532662e-09,False,XTE J1701-462,1674292549,L,0.01037,,0.071,0.023666666666666666,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.420752981009397e+27,2.806917660336466e+27,8.88093762785285e+37,1.7697040032026646e+37,2.2342893897770036e+37
59972.33898,0.0,9.141137288732083e-09,1.8234848238545777e-09,2.2580408554243693e-09,False,XTE J1701-462,1674890595,L,0.01036,,0.144,0.047999999999999994,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.7078710271343004e+28,5.692903423781001e+27,8.469988894576018e+37,1.6896033523656285e+37,2.0922539903780554e+37
59979.24053,0.0,7.86648717738616e-09,1.5473764306242899e-09,1.9700788713093785e-09,False,XTE J1701-462,1675486876,L,0.01037,,0.143,0.04766666666666666,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.6960108116680897e+28,5.653369372226965e+27,7.288924444217288e+37,1.4337670214484122e+37,1.8254343671217077e+37
59986.37178,0.0,6.8865916924009486e-09,1.3662746440561716e-09,1.7003731943102623e-09,False,XTE J1701-462,1676104286,L,0.01037,,0.077,0.025666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",9.132365908982024e+27,3.044121969660675e+27,6.380973539038275e+37,1.265961848791105e+37,1.5755306607412647e+37
60001.21441,0.0,4.685220320235738e-09,9.813934553919747e-10,1.2438223174715599e-09,False,XTE J1701-462,1677385451,L,0.01036,,0.14,0.04666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.660430165269459e+28,5.534767217564863e+27,4.341228320676816e+37,9.093388935998113e+36,1.1525000536635846e+37
60028.03843,0.0,1.0126244572932733e-11,2.5990740869029405e-12,3.477371705598997e-12,False,XTE J1701-462,1679703078,L,0.01037,,0.071,0.023666666666666666,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.420752981009397e+27,2.806917660336466e+27,9.382768945197354e+34,2.4082483346338263e+34,3.2220607566021665e+34
