t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
59829.65461,0.0,6.7408890812058e-09,1.1696090908952993e-09,1.1354714634021131e-09,False,XTE J1701-462,1662564675,L,0.01036,,0.074,0.024666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.778266089080086e+27,2.926088696360029e+27,6.247183069235546e+37,1.0839463492489438e+37,1.0523089782834576e+37
59831.70687,0.0,9.930761330392908e-09,1.4623153122793057e-09,1.3800235221196407e-09,False,XTE J1701-462,1662741220,L,0.01037,,0.069,0.023000000000000003,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.185140001980081e+27,2.7283800006600275e+27,9.20342751534374e+37,1.3552146238728868e+37,1.2789499246574856e+37
59838.71566,0.0,1.898668219312368e-08,2.8159930004151566e-09,2.660290874407201e-09,False,XTE J1701-462,1663346775,L,0.01037,rise,0.339,0.026216454756507412,,0.26,0.46,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",4.0213948705380395e+28,3.109932645472315e+27,1.7596088306591882e+38,2.6097482963081984e+37,2.4654498701328066e+37
59842.59219,0.0,2.390757592471691e-08,3.795329748432182e-09,3.6264837297928148e-09,False,XTE J1701-462,1663682476,L,0.01036,rise,2.62,0.13439121995130487,,-0.21,0.26,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",3.1079806964040302e+29,1.5942187686062737e+28,2.215657337542757e+38,3.517357942096609e+37,3.3608782884122607e+37
59846.7369,0.0,1.940815768671473e-08,3.2979913589155418e-09,3.1898628445233803e-09,False,XTE J1701-462,1664039818,L,0.01037,rise,3.98,0.20021238722916224,,-2.53,0.2,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",4.721283653316046e+29,2.375023796523683e+28,1.7986694728970325e+38,3.0564448593800093e+37,2.956235730246635e+37
59852.53187,0.0,2.670645054182127e-08,4.132919079194525e-09,3.932180476973854e-09,False,XTE J1701-462,1664539279,L,0.01036,decay,1.71,0.08996804988438951,,-0.08,0.59,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",2.0284912178820194e+29,1.0672479478389213e+28,2.4750457047187938e+38,3.830222065224387e+37,3.6441856563727134e+37
59859.69108,0.0,2.873859609690509e-08,4.654857064098998e-09,4.463143180972203e-09,False,XTE J1701-462,1665159058,L,0.01036,decay,1.31,0.06942081820318743,,-0.84,0.25,False,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.5539903482020151e+29,8.235059652827482e+27,2.663376726828877e+38,4.313933056935719e+37,4.136260392339244e+37
59880.63565,0.0,1.4250694592934676e-08,2.337820101988762e-09,2.2463434081039027e-09,False,XTE J1701-462,1666968671,L,0.01037,,0.074,0.024666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.778266089080086e+27,2.926088696360029e+27,1.3206966753694617e+38,2.166597014744267e+37,2.0818201186430613e+37
59965.41679,0.0,9.587117752626423e-09,1.9126658938524447e-09,1.911180323538398e-09,False,XTE J1701-462,1674292549,L,0.01037,,0.071,0.023666666666666666,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.422390436820081e+27,2.807463478940027e+27,8.884952561222361e+37,1.7725813086723992e+37,1.771204542254458e+37
59972.33898,0.0,9.145189779994312e-09,1.770440497244802e-09,1.7573592228803608e-09,False,XTE J1701-462,1674890595,L,0.01036,,0.144,0.047999999999999994,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.7082031308480166e+28,5.694010436160055e+27,8.475391609367171e+37,1.6407725696471844e+37,1.6286493742127116e+37
59979.24053,0.0,7.868599295957216e-09,1.4667906829645208e-09,1.444347405365796e-09,False,XTE J1701-462,1675486876,L,0.01037,,0.143,0.04766666666666666,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.6963406091060162e+28,5.654468697020054e+27,7.292299236514007e+37,1.3593622162210802e+37,1.3385626952463447e+37
59986.37178,0.0,6.912168524364217e-09,1.332121486827725e-09,1.3209900533498325e-09,False,XTE J1701-462,1676104286,L,0.01037,,0.077,0.025666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",9.134141741340089e+27,3.04471391378003e+27,6.405917922237452e+37,1.234556257849954e+37,1.2242400960022094e+37
60001.21441,0.0,4.410193456854865e-09,8.628317720287753e-10,8.589630901730044e-10,False,XTE J1701-462,1677385451,L,0.01036,,0.14,0.04666666666666667,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",1.6607530438800163e+28,5.535843479600053e+27,4.0871887319037097e+37,7.996375512015495e+36,7.96052213496318e+36
60028.03843,0.0,1.0195264915461619e-11,2.470378316559323e-12,2.4727158257376387e-12,False,XTE J1701-462,1679703078,L,0.01037,,0.071,0.023666666666666666,,,,True,SS,NS,8.8,"(""gauss"", 8.8, 1.32)",8.422390436820081e+27,2.807463478940027e+27,9.448558728524564e+34,2.289446600871142e+34,2.2916129097344146e+34
