name,class,D,D_prob,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59730.97968,IMS,1.2154270395124722e+29,6.356092498322186e+27,0,2.1441505233334955e+37,2.1532686968201162e+36,2.153332163864771e+36,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59733.93079,SS,1.0409544483566494e+29,5.495681298320907e+27,0,2.7073124415496073e+37,2.4989198478967254e+36,2.6177872350498266e+36,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59759.97549,SS,8.527592938514926e+27,1.815119403011624e+27,0,2.2826804688151536e+37,2.919319483312943e+36,3.358579415173399e+36,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59763.94295,SS,8.429574628876823e+27,1.7187895592786733e+27,0,2.2628381696897633e+37,2.0560805327639437e+36,2.2644837261420497e+36,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59775.8317,SS,9.997867583086466e+27,3.3326225276954884e+27,1,2.4441614648251534e+37,1.8413192545946213e+36,2.07096102481868e+36,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59782.84483,SS,1.1860215466210415e+28,3.953405155403471e+27,1,1.8113048676263595e+37,1.47716684097612e+36,1.6020330233521583e+36,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59797.93867,SS,7.939483080686311e+27,2.6464943602287703e+27,1,1.3820558263593616e+37,1.423237123287812e+36,1.6135528312676375e+36,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59804.66341,HS,9.115702796343542e+27,3.0385675987811806e+27,1,7.017460870125656e+36,6.378043391515209e+35,6.94372840933771e+35,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",59811.75657,HS,4.998933791543233e+27,1.6663112638477442e+27,1,1.013108607658658e+36,9.557820249035832e+34,1.0362453703358988e+35,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",60527.74826,HS,8.331556319238723e+27,2.0041388890184234e+27,0,1.0472759942243684e+37,8.390342630400225e+35,9.582421334923194e+35,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",60533.68431,HS,1.1272105608381799e+28,3.757368536127267e+27,1,4.26966552333415e+36,4.209014606243035e+35,5.015532226499329e+35,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",60539.72062,HS,8.62561124815303e+27,2.8752037493843434e+27,1,7.064897077419611e+35,8.889101563225905e+34,1.0338141179883769e+35,0
1A 1744-361,NS,8.0,"(""uniform"", 1, 9)",60546.63713,HS,5.587043649371849e+27,1.8623478831239493e+27,1,3.800506802608624e+34,6.707203922977529e+33,7.481189081486148e+33,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59392.013,SS,9.572100550595961e+27,1.3511249648844978e+27,0,4.826121968794663e+38,4.527988104934003e+37,5.082277462727317e+37,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59421.6822,SS,2.5270345453573337e+27,8.423448484524447e+26,1,2.129746309812114e+38,2.232019920871464e+37,2.433773799157865e+37,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59426.823,SS,2.5270345453573337e+27,8.423448484524447e+26,1,2.0451325879608077e+38,1.6589248108581196e+37,1.7927285516634792e+37,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59645.2352,HS,2.257101309830527e+29,1.1311456969296732e+28,0,3.322641736324639e+35,3.0148903652044606e+34,3.3824424533317645e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59654.2191,HS,2.232979616443026e+29,1.1199574282463153e+28,0,8.336415791152341e+35,7.336720684390583e+34,8.269827801019197e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59657.0687,HS,2.6311789993478177e+29,1.3193505612369883e+28,0,1.2055164061009266e+36,1.1501812432658675e+35,1.3128928281084793e+35,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59666.0582,HS,2.630796115325794e+29,1.31809237101975e+28,0,9.65272276059612e+35,1.0298514133568673e+35,1.2159666849877379e+35,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59673.0362,HS,1.5740362145399997e+29,7.907347900172973e+27,0,2.291162493559346e+35,2.7511615898161795e+34,3.1933275072153234e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59679.039,HS,7.96398765809584e+28,4.070112983479708e+27,0,1.4981028749782798e+35,1.6060517516504459e+34,1.7739050342522914e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59685.1738,HS,8.212862272411336e+28,4.184409569479983e+27,0,1.4425723744354166e+35,1.5598832273185596e+34,1.7845596447046415e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59706.0027,HS,2.838319255262714e+29,1.4214355829183166e+28,0,3.2758439712539067e+35,3.351041205005237e+34,3.8256396249215626e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59727.0882,HS,1.8072125839525171e+28,1.261752453161068e+27,0,7.7480213933642445e+34,9.329716546946124e+33,1.0466195342591147e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59742.9194,HS,1.1442871882204433e+30,5.722173835019092e+28,0,1.5438531523307583e+36,1.5610917554704731e+35,1.777779501449889e+35,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59747.8676,HS,2.0235420563959862e+29,1.0146647823166382e+28,0,6.707797836647327e+35,1.285524182405274e+35,1.3930789705662604e+35,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59763.8678,HS,5.4982145562623195e+28,2.853767952016828e+27,0,9.14704975904903e+34,1.0452493285889078e+34,1.2199739492870913e+34,0
4U 1543-47,BH,5.0,"(""gauss"", 5, 2.0)",59769.8216,HS,7.810834049286303e+27,7.921536379795624e+26,0,1.2851929542817116e+34,2.2357943419261567e+33,2.703504051827032e+33,0
