name,class,D,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
1A 1744-361,NS,8.0,59730.97968,IMS,1.2156633851305906e+29,6.357328470998042e+27,0,2.144567463688039e+37,2.1464581387706557e+36,2.385187132869767e+36,0
1A 1744-361,NS,8.0,59733.93079,SS,1.0411568669424897e+29,5.496749959911614e+27,0,2.560213317929774e+37,1.8695291677197054e+36,1.8153548998922767e+36,0
1A 1744-361,NS,8.0,59759.97549,SS,8.529251169867853e+27,1.8154723616864906e+27,0,2.1418834613602787e+37,2.2235779192941345e+36,2.2164020959947567e+36,0
1A 1744-361,NS,8.0,59763.94295,SS,8.431213800099255e+27,1.719123786153341e+27,0,2.2230266517819534e+37,1.7460657604902798e+36,1.70165227377753e+36,0
1A 1744-361,NS,8.0,59775.8317,SS,9.999811716396794e+27,3.333270572132265e+27,1,2.3717699026144645e+37,1.7081959237523888e+36,1.6587572211307552e+36,0
1A 1744-361,NS,8.0,59782.84483,SS,1.1862521742000117e+28,3.954173914000039e+27,1,1.79427764069077e+37,1.3611210761380256e+36,1.3266870544521458e+36,0
1A 1744-361,NS,8.0,59797.93867,SS,7.941026951256277e+27,2.647008983752092e+27,1,1.3369292935433443e+37,1.340053541990542e+36,1.3386036558746603e+36,0
1A 1744-361,NS,8.0,59804.66341,HS,9.11747538847943e+27,3.039158462826476e+27,1,7.116524597555285e+36,5.5704456385323035e+35,5.442682554637492e+35,0
1A 1744-361,NS,8.0,59811.75657,HS,4.999905858198397e+27,1.6666352860661324e+27,1,9.997878173719993e+35,7.69378856108537e+34,7.468585499087797e+34,0
4U 1543-47,BH,5.0,59392.013,SS,9.573961891464457e+27,1.351387697615134e+27,0,4.8062883510039705e+38,4.265505955366737e+37,4.214415952677126e+37,0
4U 1543-47,BH,5.0,59421.6822,SS,2.527525939346617e+27,8.425086464488724e+26,1,2.1453597735721487e+38,2.1224709200427236e+37,2.120003266312305e+37,0
4U 1543-47,BH,5.0,59426.823,SS,2.527525939346617e+27,8.425086464488724e+26,1,2.0474185343943062e+38,1.6208240630426416e+37,1.585896110458777e+37,0
4U 1543-47,BH,5.0,59645.2352,HS,2.2575402140073187e+29,1.131365653636437e+28,0,3.32786648132663e+35,3.0216030927091196e+34,2.979644535660281e+34,0
4U 1543-47,BH,5.0,59654.2191,HS,2.233413830040829e+29,1.1201752093405643e+28,0,8.376085503731521e+35,6.521185721925098e+34,6.338485499908611e+34,0
4U 1543-47,BH,5.0,59657.0687,HS,2.63169064472575e+29,1.3196071152824168e+28,0,1.1833126790861403e+36,1.0630434879168068e+35,1.047406464186591e+35,0
4U 1543-47,BH,5.0,59666.0582,HS,2.6313076862500913e+29,1.3183486804040551e+28,0,9.237522034682237e+35,8.776088433238638e+34,8.696606041052988e+34,0
4U 1543-47,BH,5.0,59673.0362,HS,1.5743422934324153e+29,7.908885521902939e+27,0,2.317649123808787e+35,2.8236688650968504e+34,2.7553780207918065e+34,0
4U 1543-47,BH,5.0,59679.039,HS,7.965536293698428e+28,4.07090443647328e+27,0,1.50343553279606e+35,1.6034300546409917e+34,1.6015522605402425e+34,0
4U 1543-47,BH,5.0,59685.1738,HS,8.214459302876505e+28,4.1852232479929724e+27,0,1.4910454579690387e+35,1.3910649101268691e+34,1.3735381138326429e+34,0
4U 1543-47,BH,5.0,59706.0027,HS,2.8388711800570405e+29,1.4217119878859029e+28,0,3.2510693060080727e+35,3.3502087648180337e+34,3.347751673502283e+34,0
4U 1543-47,BH,5.0,59727.0882,HS,1.807564005108489e+28,1.2619978069780887e+27,0,8.356052335920035e+34,9.751026205196601e+33,9.888486476072067e+33,0
4U 1543-47,BH,5.0,59742.9194,HS,1.1445097003532268e+30,5.723286539170022e+28,0,1.3522821469145334e+36,1.1518330908375112e+35,1.1325791922432749e+35,0
4U 1543-47,BH,5.0,59747.8676,HS,2.0239355438555863e+29,1.0148620887508076e+28,0,6.673823249892459e+35,1.0513555478726586e+35,1.1832999385061105e+35,0
4U 1543-47,BH,5.0,59763.8678,HS,5.499283710457183e+28,2.854322880884343e+27,0,8.286899087677921e+34,7.994172573465284e+33,7.887449599373855e+33,0
4U 1543-47,BH,5.0,59769.8216,HS,7.812352903434996e+27,7.923076760543512e+26,0,1.2854552725823796e+34,2.2099425987141607e+33,2.4463334349931845e+33,0
4U 1630-47,candidateBH,11.5,58942.151,SS,1.0939591815662946e+29,8.176508639798542e+27,0,2.5584178992074837e+38,2.0197100037298014e+37,1.9751883924053865e+37,0
4U 1630-47,candidateBH,11.5,58957.114,SS,6.077551008701636e+28,8.654436430117519e+27,0,3.1536880268398488e+38,3.0035296723808896e+37,2.9876791169063753e+37,0
4U 1630-47,candidateBH,11.5,58964.171,SS,1.2155102017403272e+29,4.051700672467757e+28,1,3.1021489977698216e+38,3.030572356113147e+37,3.0224018340529856e+37,0
4U 1630-47,candidateBH,11.5,58970.991,SS,6.077551008701636e+28,2.0258503362338784e+28,1,2.4603310607307146e+38,2.221990550333624e+37,2.19864594619196e+37,0
4U 1630-47,candidateBH,11.5,58978.144,SS,9.116326513052455e+28,3.0387755043508184e+28,1,2.0394983319421e+38,1.8449629329747605e+37,1.8258937776412716e+37,0
4U 1630-47,candidateBH,11.5,58986.144,SS,1.2155102017403272e+29,4.051700672467757e+28,1,1.6432334005482766e+38,1.5425893145313593e+37,1.5348805941924473e+37,0
4U 1630-47,candidateBH,11.5,59477.639,HS,3.585755095133966e+29,2.0592297824124756e+28,0,7.760483255254988e+37,6.742987584616707e+36,6.647331192473982e+36,0
4U 1630-47,candidateBH,11.5,59484.385,SS,1.0412870728242136e+30,5.269119502757696e+28,0,1.3214854041067987e+38,1.1403952969299185e+37,1.1236822098022473e+37,0
4U 1630-47,candidateBH,11.5,59491.616,SS,3.727564618670337e+29,1.9603700567047122e+28,0,3.81856274709536e+38,3.169674824124905e+37,3.113312606057803e+37,0
4U 1630-47,candidateBH,11.5,59496.616,SS,5.226693867483408e+29,2.802784257181044e+28,0,4.279892424514291e+38,4.051832323757704e+37,4.0285295341379824e+37,0
4U 1630-47,candidateBH,11.5,59504.48,SS,3.8491156388443694e+29,2.0881987294963336e+28,0,2.4194900513294615e+38,2.2992661919493786e+37,2.2865577555802235e+37,0
4U 1630-47,candidateBH,11.5,59510.49,SS,4.416353732989856e+29,2.352168405385632e+28,0,1.8370289039730626e+38,1.715090459899475e+37,1.7027081827103714e+37,0
4U 1630-47,candidateBH,11.5,60014.022,SS,9.116326513052455e+28,3.0387755043508184e+28,1,4.527150311665026e+38,3.310022943399766e+37,3.2183544657257756e+37,0
4U 1630-47,candidateBH,11.5,60015.229,SS,5.267210874208085e+28,8.520621512275188e+27,0,4.915511238397351e+38,4.60081901327268e+37,4.569193546715701e+37,0
4U 1630-47,candidateBH,11.5,60021.2,SS,5.874965975078249e+28,6.750217223575258e+27,0,4.172875708855462e+38,3.6137246430751547e+37,3.5626979725852226e+37,0
4U 1630-47,candidateBH,11.5,60028.021,SS,9.116326513052455e+28,3.0387755043508184e+28,1,4.213208277931844e+38,3.45777811692386e+37,3.392644825846571e+37,0
4U 1630-47,candidateBH,11.5,60035.285,SS,1.2155102017403272e+29,4.051700672467757e+28,1,4.127125541179754e+38,3.432046127158387e+37,3.371513982499243e+37,0
4U 1630-47,candidateBH,11.5,60043.194,SS,9.116326513052455e+28,3.0387755043508184e+28,1,3.5783865311601366e+38,3.3924317850953633e+37,3.373448871789296e+37,0
Cen X-4,NS,1.87,59118.62333,QS,6.9101042666172875e+25,2.303368088872429e+25,1,1.4681619260952232e+32,4.44015284182235e+31,4.438635771404063e+31,0
Cen X-4,NS,1.87,59221.4352,QS,3.6961022821441314e+26,1.2320340940480439e+26,1,2.778293122810136e+33,5.9515866038797195e+32,5.8727386778424965e+32,0
Cen X-4,NS,1.87,59223.3652,QS,2.8926017860258414e+26,9.642005953419471e+25,1,1.332854642315019e+33,1.878481048564938e+32,1.7471047500897834e+32,0
Cen X-4,NS,1.87,59230.3252,QS,2.5712015875785254e+26,8.570671958595084e+25,1,7.773241935170685e+32,1.928931224048908e+32,1.8822688710602897e+32,0
EXO 1846-031,candidateBH,4.5,58699.839,HS,2.1403549204557933e+29,1.133066267625297e+28,0,2.562926694866901e+37,2.1557843449757696e+36,2.1194391727493136e+36,0
EXO 1846-031,candidateBH,4.5,58705.803,IMS,9.554048050730209e+29,4.799630981153063e+28,0,7.681555882946509e+37,6.958983684438384e+36,7.015187214621663e+36,0
EXO 1846-031,candidateBH,4.5,58711.904,IMS,3.84643492951476e+29,1.978702714678659e+28,0,5.137589654164013e+37,5.104998801318079e+36,7.6358339308967e+36,0
EXO 1846-031,candidateBH,4.5,58718.695,SS,1.675060372530621e+29,8.931285450262286e+27,0,4.021392808613469e+37,3.920292017728049e+36,3.9082366828034944e+36,0
EXO 1846-031,candidateBH,4.5,58726.779,SS,5.64557384815876e+29,2.8559973244774322e+28,0,6.051553779036553e+37,5.093774768377591e+36,5.010309690447682e+36,0
EXO 1846-031,candidateBH,4.5,58747.654,SS,6.700241490122484e+29,3.378150929896178e+28,0,6.361646733694806e+37,4.936790594168489e+36,4.803587126888203e+36,0
EXO 1846-031,candidateBH,4.5,58804.439,SS,1.2407854611337935e+28,3.1938176891561896e+27,0,9.168759742597992e+36,8.031413444839837e+35,7.790261608014024e+35,0
GRS 1739-278,candidateBH,8.0,60125.06613,SS,1.039196119547118e+29,5.553624467003731e+27,0,3.0278101095987003e+37,3.0466171556040803e+36,3.050648227271031e+36,0
GRS 1739-278,candidateBH,8.0,60132.91834,SS,1.7842801297884476e+28,2.516354028583549e+27,0,2.2331662441867195e+37,2.1192008675259267e+36,2.106323751579252e+36,0
GRS 1739-278,candidateBH,8.0,60141.72942,SS,1.176448437223152e+28,3.9214947907438407e+27,1,1.4339109282623902e+37,1.2605713921079982e+36,1.2511306367113594e+36,0
GRS 1739-278,candidateBH,8.0,60146.73292,SS,1.176448437223152e+28,3.9214947907438407e+27,1,8.718644023230833e+36,8.328787547615816e+35,8.519731990646465e+35,0
GRS 1739-278,candidateBH,8.0,60160.8327,HS,3.5587565226000355e+28,2.647775924289071e+27,0,3.7850881408462116e+35,5.46483597645038e+34,5.813705530007864e+34,0
GX 339-4,BH,10.0,58369.74759,QS,1.8427961848690786e+28,6.142653949563597e+27,1,3.629420057619546e+33,1.692746904472322e+33,2.3473334008781636e+33,0
GX 339-4,BH,10.0,58382.69995,QS,1.2031023471289896e+28,4.0103411570966317e+27,1,5.350418349575924e+33,1.522045189672606e+33,1.7611552322512965e+33,0
GX 339-4,BH,10.0,58389.69665,QS,1.6222121028897373e+28,5.407373676299124e+27,1,7.326701546324975e+33,2.451388806828444e+33,3.0198976487663035e+33,0
GX 339-4,BH,10.0,58396.6422,QS,1.2743326236014852e+28,4.247775412004951e+27,1,9.658599596088802e+33,2.4481772397351028e+33,2.812606051278722e+33,0
GX 339-4,BH,10.0,58402.68382,QS,1.2623843191609376e+28,4.2079477305364585e+27,1,8.840445478550583e+33,1.9446626482860398e+33,2.1402191801954333e+33,0
GX 339-4,BH,10.0,58403.6191,QS,2.0587847651405163e+28,6.862615883801721e+27,1,8.720138832032212e+33,2.1271252474054154e+33,2.4098220787869517e+33,0
GX 339-4,BH,10.0,58410.5777,QS,1.2959314816286288e+28,4.3197716054287633e+27,1,2.4409782149611065e+33,1.1151876227196911e+33,1.498171062750488e+33,0
