## Data from Katie and Melania

## SOURCE_METADATA
# class, l_deg, b_deg, coordinates_refs, D, D_prob, distance_distribution_text, distance_refs
candidateBH,8.77,-1.98, [],8.0, "(""uniform"", 6, 25)", 6.0-25.0, [https://ui.adsabs.harvard.edu/abs/2022MNRAS.513.6196R/abstract]

## OBS_METADATA
# xray_CI, xray_obs_ref, radio_obs_ref, extra_xray_text, extra_radio_text
68, [Savard et al. (in prep.) & ], [Savard et al. (in prep.) & ],,



## XRAY_DATA
# obsID, t_xray, dt_xray, Xphase, Xstate, Fx, Fx_unc_l, Fx_unc_u, Fx_uplim, model, fit_stat
00011105091,60044.06959,0.01844851852,peak/trough,HS,1.6453E-10,4.0431E-12,4.0821E-12,,tbabs*cflux*powerlaw,chi
00011105093,60066.85242,0.07354414352,peak/trough,HS,1.9959E-10,4.5381E-12,4.6405E-12,,tbabs*cflux*powerlaw,chi
00011105094,60071.19389,0.008729050926,peak/trough,HS,1.7368E-10,5.8052E-12,5.9059E-12,,tbabs*cflux*powerlaw,chi
00011105095,60078.80149,0.01012282407,peak/trough,HS,1.5473E-10,2.7699E-12,6.2942E-12,,tbabs*cflux*powerlaw,chi
00011105096,60085.59756,0.009730717593,peak/trough,HS,1.4861E-10,5.1770E-12,5.2280E-12,,tbabs*cflux*powerlaw,chi
00011105097,60092.60695,0.008992847222,peak/trough,HS,1.3645E-10,5.7006E-12,3.7631E-12,,,chi
00011105099,60106.43608,0.010430625,peak/trough,HS,1.5228E-10,4.8136E-12,5.7501E-12,,,chi
00011105102,60148.41941,0.009080949074,peak/trough,HS,1.1535E-10,4.2895E-12,4.3180E-12,,tbabs*cflux*powerlaw,chi
00016178001,60161.10754,0.01037550926,peak/trough,HS,1.2835E-10,4.8046E-12,4.8543E-12,,tbabs*cflux*powerlaw,chi
00016178004,60189.3773,0.01130303241,peak/trough,SS,3.3719E-10,5.3292E-12,5.3379E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178005,60195.35802,0.05357604167,peak/trough,SS,6.7800E-10,7.1293E-12,5.3115E-12,,,chi
00016178006,60196.31267,0.01004840278,peak/trough,SS,6.2526E-10,5.8869E-12,6.1537E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178008,60197.77855,0.1435582639,peak/trough,SS,6.6995E-10,6.6644E-12,5.1979E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178009,60198.50402,0.1287292824,peak/trough,SS,6.5185E-10,8.4636E-12,7.4238E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178010,60199.36062,0.6724353704,peak/trough,SS,6.1681E-10,7.6521E-12,4.5999E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178011,60200.28922,0.01659925926,peak/trough,SS,6.2033E-10,1.8577E-11,1.6549E-11,,tbabs*cflux*(powerlaw+diskbb),chi
00016178012,60201.59854,0.003584513889,peak/trough,SS,6.1580E-10,1.3565E-11,1.1459E-11,,tbabs*cflux*(powerlaw+diskbb),chi
00016178015,60206.29893,0.01533032407,peak/trough,SS,5.9996E-10,5.6004E-12,4.0950E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178018,60217.55333,0.4828656944,peak/trough,SS,4.9526E-10,6.6454E-12,4.4613E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178019,60218.24348,0.2678724769,peak/trough,SS,4.9495E-10,4.5790E-12,3.9285E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178020,60221.55542,0.01620543981,peak/trough,SS,3.8152E-10,4.5376E-12,3.2083E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178021,60224.31819,0.01010855147,peak/trough,SS,3.2015E-10,4.6486E-12,4.2313E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178022,60227.63237,0.01643243056,peak/trough,SS,2.5135E-10,3.0339E-12,2.9630E-12,,tbabs*cflux*(powerlaw+diskbb),chi
00016178023,60231.25485,0.01318724537,peak/trough,HS,4.0151E-11,2.3245E-12,2.3693E-12,,tbabs*cflux*powerlaw,chi
00016178024,60233.63273,0.01574752315,peak/trough,HS,4.2238E-11,2.4490E-12,2.2045E-12,,tbabs*cflux*powerlaw,chi
00016178025,60239.17464,0.007402685185,peak/trough,HS,6.9151E-11,4.4490E-12,4.5481E-12,,tbabs*cflux*powerlaw,chi



## RADIO_DATA
# blockID, band, t_radio, dt_radio, Rphase, Rstate, Fr, Fr_unc, Fr_uplim, local_rms, alpha, alpha_unc
1682819781,L,60064.11443,0.0104585383,,HS,0.33,0.01,,,,
1683339854,L,60070.16022,0.01036598486,,HS,0.20,0.02,,21.05,,
1684103257,L,60078.96848,0.01036598532,,HS,0.24,0.02,,20.39,,
1684711875,L,60086.06257,0.01036598485,,HS,0.11,0.02,,21.68,,
1685152874,L,60091.1179,0.01036598486,,HS,0.10,0.01,,12.84,,
1685742346,L,60097.95288,0.01036598533,,HS,0.09,0.02,,15.95,,
1686520945,L,60106.96526,0.01036598485,,HS,0.11,0.02,,19.10,,
1686966372,L,60112.10599,0.01036598485,,HS,0.27,0.02,,24.16,,
1687648172,L,60119.98471,0.01036598486,,HS,1.62,0.02,,20.13,,
1688086271,L,60125.06007,0.0013883016,,HS,2.01,0.03,,24.95,,
1688764579,L,60132.90557,0.01036598486,,HS,0.38,0.02,,20.23,,
1689525980,L,60141.7172,0.01036598486,,HS,0.34,0.02,,16.38,,
1689958275,L,60146.7207,0.01036598486,,HS,0.28,0.03,,26.39,,
1690568489,L,60153.7835,0.01036598486,,HS,0.23,0.02,,17.81,,
1691176395,L,60160.81992,0.01036598533,,HS,0.08,0.02,,20.44,,
1691942477,L,60169.69439,0.01036598486,,Unclear,0.32,0.02,,20.29,,
1693144877,L,60183.61084,0.01036598485,,Unclear,0.38,0.02,,22.37,,
1693837274,L,60191.62486,0.01036598486,,SS,0.51,0.02,,20.52,,
1694179874,L,60195.58998,0.01036598485,,SS,0.09,0.03,,25.64,,
1694873611,L,60203.61979,0.01036598485,,SS,0.58,0.02,,21.82,,
1695478381,L,60210.61955,0.01036598485,,SS,1.18,0.02,,21.07,,
1696160474,L,60218.51362,0.01036598486,,SS,0.17,0.03,,24.85,,
1696597476,L,60223.57193,0.01045853829,,SS,0.09,0.03,,25.33,,
1697283077,L,60231.50682,0.01036598486,,HS,0.15,0.03,,24.65,,
1697970076,L,60239.47201,0.01036598486,,HS,0.09,0.03,,25.25,,
1699263074,L,60254.4233,0.01036598486,,Unclear,0.18,0.04,,42.77,,
1699785278,L,60260.46772,0.01036598486,,Unclear,0.39,0.02,,21.79,,
1700301738,L,60266.45785,0.01036598486,,Unclear,0.22,0.02,,21.79,,
1701508883,L,60280.43628,0.01036598486,,Unclear,0.24,0.02,,22.87,,
1702191978,L,60288.3269,0.01036598486,,Unclear,0.06,0.02,,17.85,,
1702797675,L,60295.35073,0.01036598486,,Unclear,0.07,0.02,,21.48,,
1704610349,L,60316.31818,0.0104585383,,Unclear,0.07,0.02,,21.71,,
1705896778,L,60331.22163,0.01036598486,,Unclear,0.07,0.02,,26.72,,
1706499979,L,60338.19827,0.0104585383,,Unclear,0.08,0.02,,23.11,,
