## Data from Joe



## SOURCE_METADATA
# class, l_deg, b_deg, coordinates_refs, D, D_prob, distance_distribution_text, distance_refs
BH,35.85,10.16,[https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract], 2.96, "(""gauss"", 2.96, 0.33)", 2.96 \pm 0.33, [https://ui.adsabs.harvard.edu/abs/2020MNRAS.493L..81A/abstract]

## OBS_METADATA
# xray_CI, xray_obs_ref, radio_obs_ref, extra_xray_text, extra_radio_text
68, [Bright et al. 2020 & https://ui.adsabs.harvard.edu/abs/2020NatAs...4..697B/abstract; Bright et al. 2025 & https://arxiv.org/abs/2507.11303], [Bright et al. 2020 & https://ui.adsabs.harvard.edu/abs/2020NatAs...4..697B/abstract; Bright et al. 2025 & https://arxiv.org/abs/2507.11303],  ,  




## XRAY_DATA
# obsID, t_xray, dt_xray, Xphase, Xstate, Fx, Fx_unc_l, Fx_unc_u, Fx_uplim, model, fit_stat
00813771000wt,58189.08144,0.1183333333,,HS,1.9108E-09,1.0089E-11,1.0062E-11,,tbabs(pow),
00813771000pc,58189.12179,0.095,,HS,1.5159E-09,1.4840E-11,1.4768E-11,,tbabs(pow),
00010627002wt,58190.74007,0.01157407407,,HS,4.1882E-09,1.7036E-11,1.7001E-11,,tbabs(pow),
00814259000wt,58191.83686,0.07057870369,,HS,6.0995E-09,1.4776E-11,1.4759E-11,,tbabs(pow),
00010627001wt,58191.87863,0.01208333333,,HS,5.8573E-09,2.1357E-11,2.1319E-11,,tbabs(pow),
00010627003wt,58192.07973,0.02083333334,,HS,7.7864E-09,2.3897E-11,2.3860E-11,,tbabs(pow),
00010627005wt,58193.13176,0.01138888889,,HS,1.0199E-08,3.8634E-11,3.8561E-11,,tbabs(pow),
00010627006wt,58194.12855,0.01225694444,,HS,1.4711E-08,5.0627E-11,5.0540E-11,,tbabs(pow),
00010627007wt,58195.12763,0.01131944445,,HS,2.1914E-08,8.2956E-11,8.2800E-11,,tbabs(pow),
00815603000wt,58196.0643,0.02609953704,,HS,2.8504E-08,7.9789E-11,7.9678E-11,,tbabs(pow),
00010627008wt,58196.78591,0.01140046296,,HS,3.2250E-08,1.3336E-10,1.3308E-10,,tbabs(pow),
00010627009wt,58197.78167,0.01153935185,,HS,3.7530E-08,1.7938E-10,1.7895E-10,,tbabs(pow),
00010627010wt,58198.78944,0.01269675926,,HS,3.6779E-08,1.3852E-10,1.3826E-10,,tbabs(pow),
00010627011wt,58199.18939,0.01143518519,,HS,3.8460E-08,1.5282E-10,1.5252E-10,,tbabs(pow),
00010627012wt,58200.7828,0.01208333333,,HS,4.0430E-08,1.6431E-10,1.6398E-10,,tbabs(pow),
00010627013wt,58201.11648,0.01137731481,,HS,4.2009E-08,1.6170E-10,1.6139E-10,,tbabs(pow),
00010627014wt,58202.17758,0.01141203704,,HS,3.9349E-08,1.5297E-10,1.5267E-10,,tbabs(pow),
00010627015wt,58203.17341,0.01141203704,,HS,3.8006E-08,1.7022E-10,1.6984E-10,,tbabs(pow),
00010627016wt,58204.49075,0.0114699074,,HS,3.7754E-08,1.5624E-10,1.5592E-10,,tbabs(pow),
00010627017wt,58205.09833,0.01158564815,,HS,4.1211E-08,1.5608E-10,1.5578E-10,,tbabs(pow),
