## Data from Xian

## SOURCE_METADATA
# class, l_deg, b_deg, coordinates_refs, D, D_prob, distance_distribution_text, distance_refs
BH,330.917903,5.426284, [],5.0, "(""gauss"", 5, 1.6)", 5.0^{+2.0}_{-1.2}, [https://ui.adsabs.harvard.edu/abs/2025MNRAS.538L..43Z/abstract]


## OBS_METADATA
# xray_CI, xray_obs_ref, radio_obs_ref, extra_xray_text, extra_radio_text
90, [Zhang et al. 2025 & https://ui.adsabs.harvard.edu/abs/2025MNRAS.538L..43Z/abstract], [Zhang et al. 2025 & https://ui.adsabs.harvard.edu/abs/2025MNRAS.538L..43Z/abstract] ,,



## XRAY_DATA
# obsID, t_xray, dt_xray, Xphase, Xstate, Fx, Fx_unc_l, Fx_unc_u, Fx_uplim, model, fit_stat
4202230137,59415.1125,,,,7.040E-08,2.530E-11,2.530E-11,,,
4202230138,59416.5891,,,,6.91E-08,3.37E-11,4.26E-11,,,
4202230140,59425.8029,,,,6.55E-08,3.48E-11,2.97E-11,,,
4202230141,59426.1273,,,,6.55E-08,3.01E-11,3.74E-11,,,
4202230142,59427.2257,,,,6.52E-08,2.15E-11,2.94E-11,,,
4202230143,59428.1298,,,,6.43E-08,2.79E-11,3.18E-11,,,
4202230144,59429.0986,,,,6.31E-08,4.35E-11,5.93E-11,,,
4202230145,59430.3083,,,,6.41E-08,3.78E-11,4.87E-11,,,
4202230146,59431.087,,,,6.25E-08,3.58E-11,3.64E-11,,,
4202230147,59432.6477,,,,6.33E-08,4.66E-11,3.79E-11,,,
4202230148,59433.1685,,,,6.32E-08,4.67E-11,2.87E-11,,,
4202230149,59436.447,,,,6.25E-08,6.40E-11,4.92E-11,,,
4202230150,59438.2441,,,,6.20E-08,8.92E-11,1.15E-10,,,
4202230151,59443.2938,,,,6.16E-08,3.56E-11,4.87E-11,,,
4202230152,59451.9444,,,,5.95E-08,1.69E-10,1.97E-10,,,
4202230153,59452.0087,,,,5.87E-08,6.47E-11,6.15E-11,,,
4202230154,59453.6248,,,,5.92E-08,3.55E-10,9.27E-11,,,
4202230155,59454.0123,,,,5.89E-08,8.75E-10,2.63E-10,,,
4202230158,59457.3066,,,,5.69E-08,4.79E-11,3.26E-11,,,
4202230161,59459.9993,,,,5.46E-08,5.89E-11,4.41E-11,,,
4202230162,59461.0488,,,,5.33E-08,3.07E-11,2.66E-11,,,
4202230165,59464.1972,,,,5.29E-08,4.31E-11,4.89E-11,,,
4202230166,59466.0695,,,,5.17E-08,2.22E-11,2.35E-11,,,
4202230167,59467.0382,,,,5.12E-08,2.79E-11,2.43E-11,,,
4202230168,59468.5875,,,,5.21E-08,2.89E-11,1.46E-11,,,
4202230169,59469.1053,,,,5.26E-08,1.72E-10,1.56E-10,,,
4202230170,59470.137,,,,5.07E-08,2.03E-10,8.54E-11,,,
4202230171,59471.4324,,,,5.08E-08,3.59E-11,3.70E-11,,,
4202230172,59472.3465,,,,5.07E-08,3.67E-11,3.50E-11,,,
4202230173,59473.447,,,,4.92E-08,5.84E-11,4.79E-11,,,
4202230175,59475.1125,,,,4.81E-08,4.10E-11,4.42E-11,,,
4202230180,59481.5771,,,,4.59E-08,3.55E-11,4.05E-11,,,
4202230183,59484.1491,,,,4.11E-08,4.30E-11,5.40E-11,,,
4202230184,59485.1794,,,,4.02E-08,2.84E-11,3.70E-11,,,
4202230185,59487.8928,,,,3.88E-08,4.05E-11,3.49E-11,,,
4202230187,59498.7151,,,,3.44E-08,2.30E-11,3.47E-11,,,
4202230188,59501.3026,,,,3.29E-08,3.17E-11,4.92E-11,,,
4202230192,59587.0403,,,,9.13E-12,4.44E-13,4.22E-13,,,
4202230195,59595.6715,,,,1.10E-12,1.33E-13,2.21E-13,,,
4202230206,59625.1162,,,,5.83E-10,3.52E-12,1.51E-12,,,
4202230208,59633.3537,,,,9.79E-10,5.38E-12,5.37E-12,,,
4202230209,59633.9998,,,,8.02E-10,3.67E-12,4.50E-12,,,
4202230210,59635.0359,,,,6.58E-10,2.28E-12,2.28E-12,,,
4681010101,59636.3903,,,,4.73E-10,1.92E-12,1.33E-12,,,
4681010102,59637.0336,,,,3.84E-10,6.89E-13,1.13E-12,,,
4681010103,59638.0046,,,,2.93E-10,7.23E-13,9.24E-13,,,
4681010104,59643.0115,,,,1.22E-10,5.35E-13,5.92E-13,,,
4681010201,59648.1076,,,,8.92E-11,6.51E-13,6.61E-13,,,
4681010301,59652.9472,,,,2.54E-10,1.73E-12,2.58E-12,,,
4681010401,59657.0778,,,,4.28E-10,2.94E-12,2.20E-12,,,
5202230201,59662.5442,,,,6.08E-10,1.60E-12,1.49E-12,,,
5202230202,59669.9634,,,,8.94E-11,1.22E-12,1.24E-12,,,
5202230203,59670.1574,,,,8.55E-11,1.41E-12,1.23E-12,,,
5202230204,59672.8669,,,,6.40E-11,6.69E-13,7.94E-13,,,
5202230205,59676.9317,,,,5.75E-11,1.29E-12,1.11E-12,,,
5202230206,59676.996,,,,7.79E-11,3.75E-12,4.06E-12,,,
5202230207,59679.0609,,,,7.84E-11,1.39E-12,1.58E-12,,,
5202230208,59682.4954,,,,4.48E-11,7.81E-13,6.06E-13,,,
5202230209,59686.6748,,,,7.54E-11,1.77E-12,2.10E-12,,,
5202230211,59693.0796,,,,9.04E-11,9.49E-13,8.53E-13,,,
5202230214,59700.2917,,,,4.80E-10,3.00E-12,1.37E-12,,,
5202230215,59704.3562,,,,2.40E-10,7.29E-11,5.41E-11,,,
5202230216,59707.5841,,,,9.49E-11,8.80E-13,8.79E-13,,,
5202230217,59721.6097,,,,2.42E-11,3.37E-13,3.09E-13,,,
5202230218,59723.4197,,,,1.48E-11,3.03E-13,4.12E-13,,,
5202230219,59727.8056,,,,3.09E-11,3.73E-13,3.76E-13,,,
5202230220,59730.3875,,,,5.57E-11,1.12E-12,6.42E-13,,,
5202230221,59735.6037,,,,1.66E-10,1.40E-12,1.33E-12,,,
5202230222,59738.3775,,,,3.98E-10,1.81E-12,1.27E-12,,,
5202230223,59741.9898,,,,7.35E-10,3.09E-12,2.76E-12,,,
5202230224,59749.4736,,,,1.59E-10,9.20E-13,1.19E-12,,,
