name,t,Fr,Fr_unc,Fr_uplim,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim,alpha,alpha_unc,Rstate,Xstate
MAXI J1348-630,58509.9,3.4,0.1,,3.81e-09,3e-11,3e-11,,0.02,0.09,HS,HS
MAXI J1348-630,58511.0,6.2,0.4,,2.01e-08,2e-09,2e-09,,0.1,0.2,HS,HS
MAXI J1348-630,58512.0,13.7,0.05,,3.46e-08,3.5e-09,3.5e-09,,0.14,0.01,HS,HS
MAXI J1348-630,58514.0,21.9,0.8,,5.28e-08,5.3e-09,5.3e-09,,0.18,0.02,HS,HS
MAXI J1348-630,58515.2,28.6,0.1,,5.9e-08,5.9e-09,5.9e-09,,0.14,0.01,HS,HS
MAXI J1348-630,58515.9,34.4,1.4,,6.25e-08,3e-10,3e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58519.9,135.0,1.0,,1.3200000000000004e-07,1.32e-08,1.32e-08,,0.155,0.003,HS,HS
MAXI J1348-630,58602.1,4.73,0.04,,1.13e-08,1.1e-09,1.1e-09,,0.14,0.01,HS,HS
MAXI J1348-630,58603.3,8.7,0.1,,8.9e-09,9e-10,9e-10,,0.09,0.05,HS,HS
MAXI J1348-630,58607.9,3.43,0.04,,3.2e-09,3e-10,3e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58608.7,2.75,0.06,,2.6e-09,3e-10,3e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58612.4,0.77,0.02,,9.1e-10,3e-11,3e-11,,0.21,0.02,HS,HS
MAXI J1348-630,58614.9,0.32,0.04,,4.2000000000000005e-10,4e-11,4e-11,,0.14,0.01,HS,HS
MAXI J1348-630,58617.5,0.71,0.02,,2e-10,2e-11,2e-11,,0.27,0.03,HS,HS
MAXI J1348-630,58621.9,0.27,0.04,,5.2e-11,5.000000000000001e-12,5.000000000000001e-12,,0.14,0.01,HS,HS
MAXI J1348-630,58628.0,0.13,0.04,,4.7000000000000006e-12,5e-13,5e-13,,0.14,0.01,HS,HS
MAXI J1348-630,58629.3,0.15,0.01,,1.5e-11,2e-12,2e-12,,0.0,0.2,HS,HS
MAXI J1348-630,58634.9,0.79,0.06,,8.7e-10,9e-11,9e-11,,0.14,0.01,HS,HS
MAXI J1348-630,58642.9,4.34,0.06,,6.7e-09,7.000000000000001e-10,7.000000000000001e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58643.5,4.09,0.02,,7.4e-09,7.000000000000001e-10,7.000000000000001e-10,,-0.03,0.02,HS,HS
MAXI J1348-630,58650.9,6.26,0.09,,9.900000000000001e-09,2e-10,2e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58658.8,4.6,0.05,,1.03e-08,1e-09,1e-09,,0.14,0.01,HS,HS
MAXI J1348-630,58660.3,4.18,0.04,,1.02e-08,1e-09,1e-09,,0.05,0.03,HS,HS
MAXI J1348-630,58664.7,3.86,0.05,,6.9000000000000006e-09,7.000000000000001e-10,7.000000000000001e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58671.9,2.29,0.03,,5.4e-09,5e-10,5e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58678.9,1.66,0.03,,4.3000000000000005e-09,4e-10,4e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58686.9,1.11,0.03,,2.4e-09,2e-10,2e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58689.4,1.19,0.01,,1.93e-09,4e-11,4e-11,,-0.02,0.03,HS,HS
MAXI J1348-630,58691.8,0.7,0.03,,1.1e-09,1e-10,1e-10,,0.14,0.01,HS,HS
MAXI J1348-630,58699.7,0.44,0.04,,9.8e-11,5.000000000000001e-12,5.000000000000001e-12,,0.14,0.01,HS,HS
MAXI J1348-630,58705.8,0.14,0.04,,7.099999999999999e-12,7e-13,7e-13,,0.14,0.01,HS,HS
MAXI J1348-630,58726.7,,,0.12,,,,2e-13,0.14,0.01,HS,HS
MAXI J1348-630,58727.1,,,0.033,,,,5e-13,0.14,0.01,HS,HS
MAXI J1348-630,58775.6,,,0.12,8e-13,4e-13,4e-13,,0.14,0.01,HS,HS
MAXI J1348-630,58782.6,,,0.12,,,,1e-12,0.14,0.01,HS,HS
MAXI J1348-630,58789.6,,,0.06,,,,6.000000000000002e-13,0.14,0.01,HS,HS
MAXI J1348-630,58817.4,0.47,0.03,,6.7e-11,7.000000000000001e-12,7.000000000000001e-12,,0.14,0.01,HS,HS
MAXI J1348-630,58820.7,0.56,0.01,,2.1e-11,2e-12,2e-12,,0.19,0.06,HS,HS
MAXI J1348-630,58824.4,0.16,0.03,,5.9e-12,6.000000000000003e-13,6.000000000000003e-13,,0.14,0.01,HS,HS
MAXI J1348-630,58827.8,0.15,0.01,,1.6e-12,2e-13,2e-13,,0.9,0.2,HS,HS
MAXI J1348-630,58831.3,0.054,0.006,,2e-13,1e-13,1e-13,,-0.3,0.3,HS,HS
MAXI J1348-630,58894.1,0.22,0.02,,2.1e-11,2e-12,2e-12,,0.14,0.01,HS,HS
MAXI J1348-630,59112.7,0.17,0.02,,8e-12,2e-12,2e-12,,0.14,0.01,HS,HS
MAXI J1348-630,59127.0,0.09,0.01,,3.0000000000000014e-13,1e-13,1e-13,,-1.2,0.3,HS,HS
