name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
4U 1630-47,58957.114,0.6944099999964237,0.3,0.04272001872658766,False,2.0279999999999997e-08,2.0387718092027856e-09,2.039354312031139e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",6.076369429518315e+28,8.652753860622905e+27,3.2090826049643596e+38,3.2261277852092587e+37,3.2270495306204086e+37
4U 1630-47,58964.171,0.19453000000066822,0.6,0.19999999999999998,True,1.958e-08,1.967391165986063e-09,1.967865401901258e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",1.215273885903663e+29,4.050912953012209e+28,3.0983154539054323e+38,3.1131759210682565e+37,3.1139263462290563e+37
4U 1630-47,58970.991,0.8723299999983283,0.3,0.09999999999999999,True,1.508e-08,1.519464277303024e-09,1.5200980099980396e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",6.076369429518315e+28,2.0254564765061046e+28,2.386240911383755e+38,2.4043818447524045e+37,2.4053846556832584e+37
4U 1630-47,58978.144,0.8340400000015507,0.45,0.15,True,1.262e-08,1.2747016317554472e-09,1.2755894676579922e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",9.114554144277474e+28,3.0381847147591577e+28,1.996973494805238e+38,2.0170724028531022e+37,2.0184773036178555e+37
4U 1630-47,58986.144,0.4560300000011921,0.6,0.19999999999999998,True,1.091e-08,1.1347631514990255e-09,1.1412151593805615e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",1.215273885903663e+29,4.050912953012209e+28,1.7263851686470004e+38,1.7956354488313901e+37,1.805845027854926e+37
4U 1630-47,59496.616,0.41661000000021886,2.58,0.138351002887583,False,2.7300000000000003e-08,2.7381495959863116e-09,2.7385870243612855e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",5.225677709385751e+29,2.8022393482976984e+28,4.319918891298177e+38,4.33281471315082e+37,4.333506894506365e+37
4U 1630-47,59504.48,0.41409000000567175,1.9,0.10307764064044152,False,1.558e-08,1.5662657788510865e-09,1.5666602216179487e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",3.848367305361599e+29,2.0877927481815114e+28,2.465360304997275e+38,2.4784399732061033e+37,2.4790641346566907e+37
4U 1630-47,59510.49,0.5463000000017928,2.18,0.11610770861575041,False,1.132e-08,1.138154312911918e-09,1.1385124329580244e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",4.4154951187833084e+29,2.351711103880553e+28,1.7912630714100865e+38,1.8010015815240626e+37,1.8015682663418385e+37
4U 1630-47,60014.022,0.9335199999986799,0.45,0.15,True,2.684e-08,2.6861760199212565e-09,2.686228649984956e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",9.114554144277474e+28,3.0381847147591577e+28,4.247129049173739e+38,4.250572356706954e+37,4.2506556378814687e+37
4U 1630-47,60015.229,0.1653500000029453,0.26,0.042059481689626185,False,3.141e-08,3.146349719913538e-09,3.146414030289085e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",5.2661868389158734e+28,8.51896495867433e+27,4.9702803068013095e+38,4.978745638712535e+37,4.978847402670862e+37
4U 1630-47,60043.194,0.4049400000003516,0.45,0.15,True,2.2419999999999998e-08,2.2475393856393266e-09,2.2478163981962585e-09,False,SS,decay,candidateBH,11.5,"(""gauss"", 11.5, 1.0)",9.114554144277474e+28,3.0381847147591577e+28,3.547713609630224e+38,3.556479066285724e+37,3.5569174075962794e+37
