name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
GX 339-4,58396.6422,0.247350000005099,0.08319,0.02773,True,6.7456e-13,1.7892297319237684e-13,2.081627652487351e-13,False,QS,quiescence,BH,10.0,"(""uniform"", 8, 12)",1.274084871686525e+28,4.246949572288417e+27,8.071195184262514e+33,2.1408358627612708e+33,2.4906936498137435e+33
GX 339-4,58403.6191,0.34302999999636086,0.1344,0.0448,True,6.944399999999999e-13,1.7266081065487906e-13,1.9840033174367429e-13,False,QS,quiescence,BH,10.0,"(""uniform"", 8, 12)",2.058384502400155e+28,6.861281674667185e+27,8.309061882944822e+33,2.065908300919891e+33,2.373884905902557e+33
GX 339-4,58537.11945,0.5017100000040955,3.42,0.17965803628003954,False,6.126701186330222e-10,4.5509688965141214e-11,4.566568432972231e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",5.237853421286109e+29,2.7515276607922484e+28,7.330674974876056e+36,5.44529148500849e+35,5.463956526448453e+35
GX 339-4,58543.10406,0.4311600000000908,3.03,0.15950630081598657,False,4.531335736644338e-10,3.534206550069447e-11,3.559303679197639e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",4.640554346928921e+29,2.442896559782768e+28,5.421800162458552e+36,4.22872255797995e+35,4.258751588423244e+35
GX 339-4,58582.07977,0.2569900000016787,1.97,0.12130494631300077,False,2.4790862704065426e-10,2.3397641947362714e-11,2.4135363812530907e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",3.0171260935478464e+29,1.8578290294283008e+28,2.966257881741669e+36,2.7995572670874724e+35,2.8878266154845115e+35
GX 339-4,58634.90691,0.08542999999917811,0.5035,0.06998478852579323,False,1.6774e-11,2.3581021012670337e-12,2.4717095136767184e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",7.711284203560105e+28,1.0718422924497398e+28,2.007030182946208e+35,2.821498802737458e+34,2.957431499597274e+34
GX 339-4,58658.80788,0.24020999999629566,0.3982,0.056522721979748995,False,1.494e-11,2.7196960786087846e-12,3.1114489373923524e-12,False,HS,peak/trough,BH,10.0,"(""uniform"", 8, 12)",6.098576702795698e+28,8.656658850936605e+27,1.7875897778237954e+35,3.2541505414381023e+34,3.722887760845569e+34
GX 339-4,58686.86963,0.5166899999967427,0.7098,0.06816729494412992,False,3.43e-11,4.459337404816998e-12,4.631488836216708e-12,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",1.0870843153300822e+29,1.0440067223477491e+28,4.104038111068018e+35,5.335653253492743e+34,5.541634604903625e+34
GX 339-4,58699.72388,0.380620000003546,0.7537,0.07826952935210484,False,4.0441e-11,6.771861612584828e-12,7.459226612055702e-12,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",1.1543187495974682e+29,1.198726088009871e+28,4.838816479583141e+35,8.10261753379786e+34,8.925058395034804e+34
GX 339-4,58718.66876,0.49442000000271946,1.41,0.12048045484641896,False,1.4704e-10,2.131631077367751e-11,2.2766351859707347e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",2.159465884214449e+29,1.8452016450743342e+28,1.7593520811995374e+36,2.5505233761674135e+35,2.7240226146420756e+35
