name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
MAXI J1803-298,59349.94,0.6088499999968917,20.657,1.0331288024733412,False,1.4901976480720214e-08,1.0552392068565887e-09,1.0552392068565887e-09,False,IMS,candidateBH,8.0,"(""uniform"", 6, 12)",2.0251579473098877e+30,1.0128523042666572e+29,1.1413676394713194e+38,8.082255962259327e+36,8.082255962259327e+36
MAXI J1803-298,59356.05,0.8021399999997811,2.125,0.10811596783084357,False,9.561223402381058e-09,7.023440957597876e-10,7.023440957597876e-10,False,IMS,candidateBH,8.0,"(""uniform"", 6, 12)",2.083294107582665e+29,1.0599405116122042e+28,7.323103079213949e+37,5.379372485999415e+36,5.379372485999415e+36
MAXI J1803-298,59370.93,0.2117599999983213,8.374,0.4192262992704538,False,6.701e-09,6.731915563814581e-10,6.732500256705695e-10,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",8.209649344422231e+29,4.109984371829757e+28,5.132409490776265e+37,5.15608824516138e+36,5.156536071357999e+36
MAXI J1803-298,59377.99,0.9663700000019162,4.041,0.20294137700331102,False,6.812e-09,6.858397776143511e-10,6.85910640098519e-10,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",3.961690112348965e+29,1.989583881862165e+28,5.217426272372469e+37,5.252963115624203e+36,5.2535058634025687e+36
MAXI J1803-298,59384.94,0.41982000000280095,1.034,0.057869594779987876,False,3.576e-09,3.585104462204833e-10,3.585104462204833e-10,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",1.0137064034072827e+29,5.673382861804484e+27,2.738919017910151e+37,2.7458922798454594e+36,2.7458922798454594e+36
MAXI J1803-298,59392.07,0.7648100000005797,0.314,0.02542616762313975,False,4.994943245540176e-09,3.54819364037819e-10,3.5483630702466214e-10,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",3.078373410733915e+28,2.492714597068056e+27,3.825711702626354e+37,2.717621655721386e+36,2.7177514249296774e+36
MAXI J1803-298,59399.94,0.670140000001993,0.161,0.022490053356984282,False,5.68e-09,5.700784687181231e-10,5.700784687181231e-10,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",1.5784016532743957e+28,2.2048656770741216e+27,4.350408283481448e+37,4.3663276277213776e+36,4.3663276277213776e+36
MAXI J1803-298,59407.05,0.47461000000475906,0.073,0.024333333333333332,True,3.841e-09,3.8498857946882335e-10,3.8498857946882335e-10,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",7.156727993107508e+27,2.3855759977025025e+27,2.9418870100091976e+37,2.948692790786839e+36,2.948692790786839e+36
MAXI J1803-298,59454.66,0.6302100000029895,0.067,0.022333333333333334,True,1.864e-09,1.8729015692836082e-10,1.8729015692836082e-10,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",6.568503774495934e+27,2.1895012581653113e+27,1.4276691972551795e+37,1.434487060062819e+36,1.434487060062819e+36
MAXI J1803-298,59496.64,0.5307299999985844,0.073,0.024333333333333332,True,4.5799999999999997e-10,4.620173503506119e-11,4.620173503506119e-11,False,SS,candidateBH,8.0,"(""uniform"", 6, 12)",7.156727993107508e+27,2.3855759977025025e+27,3.5078996370325757e+36,3.5386692043617116e+35,3.5386692043617116e+35
MAXI J1803-298,59510.54,0.7030000000013388,0.103,0.020652421165567973,False,1.2e-11,1.7083362695909723e-12,2.1832152487787366e-12,False,HS,candidateBH,8.0,"(""uniform"", 6, 12)",1.0097849086165389e+28,2.0247090504255661e+27,9.191003415805877e+34,1.3084437074296414e+34,1.672161567413737e+34
MAXI J1803-298,59518.61,0.6624299999966752,0.087,0.02144580378535624,False,4.599999999999999e-12,8.624549910575045e-13,1.1312617978279828e-12,False,HS,candidateBH,8.0,"(""uniform"", 6, 12)",8.529251169867853e+27,2.1024901956897259e+27,3.5232179760589186e+34,6.605688973990292e+33,8.66452587333974e+33
