name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
MAXI J1820+070,58389.74588,0.7862300000051619,3.47,0.180124429214918,False,8.544840968839652e-09,6.250708026300446e-10,6.250698594356138e-10,False,IMS,,BH,2.96,"(""gauss"", 2.96, 0.33)",4.656291186541319e+28,2.417036865228266e+27,8.957868266751902e+36,6.552845076662879e+35,6.552835188811845e+35
MAXI J1820+070,58396.695119065,0.4050709349976387,11.8,0.6028897079897783,False,2.8696999999999997e-09,2.87155683427997e-10,2.871550008897634e-10,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",1.5834073775558377e+29,8.090000097317792e+27,3.008411117168953e+36,3.0103577042305283e+35,3.0103505489334248e+35
MAXI J1820+070,58403.66227690014,0.6053830998571357,2.62,0.1361521575297285,False,8.9156e-10,8.951735460255737e-11,8.951415718337517e-11,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",3.5157011264375375e+28,1.8269858534128532e+27,9.346548474137197e+35,9.38443059434397e+34,9.384095397235771e+34
MAXI J1820+070,58410.61921118968,0.3076411896836362,1.52,0.09506003366294376,False,4.2257e-10,4.2428097898091074e-11,4.242658502825794e-11,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",2.0396434015973496e+28,1.2755827001068763e+27,4.429955346489475e+35,4.447892162837574e+34,4.447733563178208e+34
MAXI J1820+070,58418.53941717185,0.9222671718525817,1.61,0.09481698160139883,False,2.3593e-10,2.3638137426836317e-11,2.3637866051951474e-11,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",2.160411760902456e+28,1.2723212558070423e+27,2.4733401919143847e+35,2.4780721129059443e+34,2.478043663687542e+34
MAXI J1820+070,58425.50139,0.7791799999977229,1.15,0.07102914894604889,False,1.0711211061159543e-10,7.686722934441104e-12,7.686730221921045e-12,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",1.5431512577874685e+28,9.531193090058157e+26,1.1228953003706111e+35,8.05827185091479e+33,8.058279490645658e+33
MAXI J1820+070,58432.48179,0.07039000000077067,0.818,0.057912088548074316,False,4.9466e-11,5.473264685724601e-12,5.4737355845893775e-12,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",1.097650199017521e+28,7.771053242092186e+26,5.18570109495346e+34,5.73782288313835e+33,5.738316543583643e+33
MAXI J1820+070,58435.67467,0.895940000002156,0.748,0.044601008957197374,False,2.9434e-11,3.0580723563055205e-12,3.058113051033267e-12,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",1.0037192528913275e+28,5.984878527903416e+26,3.085673513703556e+34,3.205888724889913e+33,3.205931386656426e+33
MAXI J1820+070,58439.48206,0.881150000001071,0.793,0.0664305088043137,False,1.9911779894621448e-11,1.5048557882595016e-12,1.5049128790663635e-12,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",1.0641034325438807e+28,8.914115062333757e+26,2.0874244693731195e+34,1.5775951782889964e+33,1.577655028662921e+33
MAXI J1820+070,58560.14061,0.9298200000048382,4.29,0.21713115851945342,False,3.3606000000000003e-10,3.4560503927026296e-11,3.456076067970727e-11,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",5.756625126876732e+28,2.9136193076012593e+27,3.523039481603647e+35,3.6231036076602844e+34,3.623130523979753e+34
MAXI J1820+070,58567.1405,0.8602600000012899,3.79,0.19279652486494667,False,7.345928047337691e-10,4.6436276383934704e-11,4.674773882327949e-11,False,HS,,BH,2.96,"(""gauss"", 2.96, 0.33)",5.085689797403918e+28,2.587079998629525e+27,7.701004148006386e+35,4.868084124241533e+34,4.900735867110314e+34
