name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
Swift J1727.8-1613,60191.66891,0.36396000000240747,91.58,4.579174707302616,False,2.272e-07,2.2757562457345914e-08,2.2757390360056664e-08,False,HS,peak/trough,BH,5.5,"('gauss',5.5,1.4)",4.242806767170117e+30,2.1214843236730485e+29,8.223391583016988e+38,8.236987128596909e+37,8.236924838834591e+37
Swift J1727.8-1613,60193.64001,0.8289399999994203,95.57,4.778761581204905,False,2.3913850438158287e-07,1.3831703757289359e-08,1.3831627522829872e-08,False,HS,peak/trough,BH,5.5,"('gauss',5.5,1.4)",4.427659344163005e+30,2.2139508599507246e+29,8.655499842019276e+38,5.0063167366407455e+37,5.006289143955337e+37
Swift J1727.8-1613,60195.63401,0.48109000000113156,86.64,4.332184668270733,False,2.121e-07,2.123283173201352e-08,2.123277613125519e-08,False,HS,peak/trough,BH,5.5,"('gauss',5.5,1.4)",4.013941671845588e+30,2.0070563908243824e+29,7.676854554392178e+38,7.685118386824646e+37,7.685098262405279e+37
Swift J1727.8-1613,60203.65151,0.7554999999993015,85.15,4.257687899552996,False,2.0090209279091087e-07,1.4244773765670481e-08,1.4244622235624344e-08,False,HS,peak/trough,BH,5.5,"('gauss',5.5,1.4)",3.94491151151491e+30,1.9725428076787258e+29,7.27155184360596e+38,5.155825382332563e+37,5.155770536782124e+37
Swift J1727.8-1613,60365.12108,0.3464499999972759,2.196233022,0.11155398141917605,False,6e-09,6.010611366574951e-10,6.010611366574951e-10,False,SS,decay,BH,5.5,"('gauss',5.5,1.4)",1.017492064645564e+29,5.168180686504145e+27,2.171670312416458e+37,2.1755110440439562e+36,2.1755110440439562e+36
Swift J1727.8-1613,60407.93309,0.27651999999943655,0.8324338126,0.046926747174618255,False,1.31e-09,1.313758155065079e-10,1.313743053264222e-10,False,HS,decay,BH,5.5,"('gauss',5.5,1.4)",3.856579835466806e+28,2.174067705544349e+27,4.741480182109266e+36,4.755082638416415e+35,4.75502797819544e+35
Swift J1727.8-1613,60412.98246,0.8498299999992014,0.6590755078,0.03850920795507884,False,1.03e-09,1.0337099448104388e-10,1.0336845940614574e-10,False,HS,decay,BH,5.5,"('gauss',5.5,1.4)",3.053428723050798e+28,1.78409181164195e+27,3.7280340363149194e+36,3.741461997990808e+35,3.741370242209208e+35
Swift J1727.8-1613,60441.91332,0.36643000000185566,0.1241061401,0.019854841989260234,False,8.4e-13,4.3125978249774233e-13,7.139586822779033e-13,False,HS,decay,BH,5.5,"('gauss',5.5,1.4)",5.749709227600378e+27,9.198543126569852e+26,3.040338437383041e+33,1.5609234443158763e+33,2.5841381243248285e+33
Swift J1727.8-1613,60448.93642,0.4037099999986822,0.1215623415,0.019148509143841152,False,1.73e-12,5.766666666666667e-13,5.766666666666667e-13,True,HS,decay,BH,5.5,"('gauss',5.5,1.4)",5.631857667058798e+27,8.871306418072516e+26,6.261649400800788e+33,2.087216466933596e+33,2.087216466933596e+33
Swift J1727.8-1613,60455.92899,0.8127000000022235,0.09147021046,0.018001238007772834,False,1.47e-13,8.251987639350898e-14,2.1749733331698572e-13,False,HS,decay,BH,5.5,"('gauss',5.5,1.4)",4.2377203312313034e+27,8.339787555887583e+26,5.3205922654203224e+32,2.986766095800986e+32,7.872208363237414e+32
Swift J1727.8-1613,60463.89865,0.07558000000426546,0.1055353986,0.0351784662,True,8.46e-14,4.196166822231929e-14,7.497880767256839e-14,False,HS,decay,BH,5.5,"('gauss',5.5,1.4)",4.889345963704691e+27,1.629781987901564e+27,3.0620551405072055e+32,1.5187818189646645e+32,2.7138208447150016e+32
