name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
XTE J1701-462,59829.65461,0.8182699999961187,0.074,0.024666666666666667,True,7.449181064819263e-09,8.770920671344135e-10,8.7769377402879e-10,False,SS,,NS,8.8,"(""gauss"", 8.8, 1.32)",8.77655944499571e+27,2.9255198149985704e+27,6.902257224654003e+37,8.126953828060968e+36,8.132529119791288e+36
XTE J1701-462,59838.71566,0.9315199999982724,0.339,0.026216454756507412,False,1.71e-08,3.4280369251220157e-09,3.4282643436584646e-09,False,SS,rise,NS,8.8,"(""gauss"", 8.8, 1.32)",4.020613043045332e+28,3.109328021723349e+27,1.5844506599390483e+38,3.176348168599417e+37,3.1765588899152996e+37
XTE J1701-462,59842.59219,0.975109999999404,2.62,0.13439121995130487,False,2.466e-08,4.934546205072966e-09,4.934578426775686e-09,False,SS,rise,NS,8.8,"(""gauss"", 8.8, 1.32)",3.1073764521471303e+29,1.5939088253893526e+28,2.2849446359121015e+38,4.57224853282315e+37,4.572278388786975e+37
XTE J1701-462,59846.7369,0.7275799999988521,3.98,0.20021238722916224,False,1.837e-08,3.67462074935632e-09,3.6747060182958856e-09,False,SS,rise,NS,8.8,"(""gauss"", 8.8, 1.32)",4.720365755551747e+29,2.374562051542219e+28,1.7021262352678545e+38,3.4048276440604334e+37,3.4049066524976067e+37
XTE J1701-462,59965.41679,0.33096999999543186,0.071,0.023666666666666666,True,9.572e-09,1.916410492978996e-09,1.916447756892945e-09,False,SS,,NS,8.8,"(""gauss"", 8.8, 1.32)",8.420752981009397e+27,2.806917660336466e+27,8.86921737832548e+37,1.775706356909174e+37,1.7757408848817165e+37
XTE J1701-462,59972.33898,0.29424999999901047,0.144,0.047999999999999994,True,9.204e-09,1.8427333806332376e-09,1.8427692663217496e-09,False,SS,,NS,8.8,"(""gauss"", 8.8, 1.32)",1.7078710271343004e+28,5.692903423781001e+27,8.52823618367193e+37,1.7074386672725423e+37,1.7074719182098787e+37
XTE J1701-462,59979.24053,0.6261299999969197,0.143,0.04766666666666666,True,7.762e-09,1.554030543103964e-09,1.5540609090058216e-09,False,SS,,NS,8.8,"(""gauss"", 8.8, 1.32)",1.6960108116680897e+28,5.653369372226965e+27,7.192108785056663e+37,1.4399325845535166e+37,1.4399607209706147e+37
XTE J1701-462,59986.37178,0.2966000000014901,0.077,0.025666666666666667,True,6.966e-09,1.39466326290614e-09,1.3946904070796503e-09,False,SS,,NS,8.8,"(""gauss"", 8.8, 1.32)",9.132365908982024e+27,3.044121969660675e+27,6.454551635751702e+37,1.2922661563183507e+37,1.292291307548545e+37
XTE J1701-462,60001.21441,0.5590500000034808,0.14,0.04666666666666667,True,4.786e-09,9.587668038162356e-10,9.59512759894312e-10,False,SS,,NS,8.8,"(""gauss"", 8.8, 1.32)",1.660430165269459e+28,5.534767217564863e+27,4.43460868916274e+37,8.883735058680039e+36,8.890646933534972e+36
XTE J1701-462,60028.03843,0.34575000000040745,0.071,0.023666666666666666,True,8.71e-12,2.3856789390024805e-12,2.4777425209250455e-12,False,SS,,NS,8.8,"(""gauss"", 8.8, 1.32)",8.420752981009397e+27,2.806917660336466e+27,8.070505993022872e+34,2.210520800763257e+34,2.2958250131220644e+34
