## Data from Lauren


## SOURCE_METADATA
# class, l_deg, b_deg, coordinates_refs, D, D_prob, distance_distribution_text, distance_refs
NS,26.3894,-5.32372,[], 12.8, "(""uniform"", 9, 18)", 9.0-18.0, [https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..793B/abstract]

## OBS_METADATA
# xray_CI, xray_obs_ref, radio_obs_ref, extra_xray_text, extra_radio_text
, [], [Rhodes et al. 2022 & https://ui.adsabs.harvard.edu/abs/2022MNRAS.513.2708R/abstract], "We do not report on the Swift XRT fluxes, as these are significantly affected by absorption an scattering.", 



## XRAY_DATA
# obsID, t_xray, dt_xray, Xphase, Xstate, Fx, Fx_unc_l, Fx_unc_u, Fx_uplim, model, fit_stat
, , , , , , , , , , 



## RADIO_DATA
# blockID, band, t_radio, dt_radio, Rphase, Rstate, Fr, Fr_unc, Fr_uplim, local_rms, alpha, alpha_unc
1541845876,L,58432.51021,0.01041666667,,HS,1.26E-01,1.55E-02,,2018-11-10 12:14:42,,
1542451956,L,58439.49621,0.01041666667,,HS,8.40E-02,8.57E-03,,2018-11-17 11:54:33,,
1543053930,L,58446.46321,0.01041666667,,HS,1.14E-01,8.13E-03,,2018-11-24 11:07:01,,
1543743065,L,58454.43921,0.01041666667,,HS,1.32E-01,7.12E-03,,2018-12-02 10:32:28,,
1544259897,L,58460.42121,0.01041666667,,HS,1.26E-01,1.14E-02,,2018-12-08 10:06:33,,
1544882682,L,58467.63121,0.01041666667,,HS,1.01E-01,8.18E-03,,2018-12-15 15:08:57,,
1545484573,L,58474.59721,0.01041666667,,HS,6.20E-02,1.26E-02,,2018-12-22 14:19:59,,
1546087573,L,58481.57621,0.01041666667,,HS,,,5.70E-02,2018-12-29 13:49:45,,
1546686970,L,58488.11221,0.01041666667,,HS,1.19E-01,1.35E-02,,2019-01-05 2:41:35,,
1550284172,L,58530.18321,0.01041666667,,HS,9.93E-01,1.85E-02,,2019-02-16 4:23:49,,
1551404170,L,58543.13121,0.01041666667,,HS,1.02E-01,1.36E-02,,2019-03-01 3:08:57,,
1552093390,L,58551.08621,0.01041666667,,HS,7.60E-02,4.82E-03,,2019-03-09 2:04:09,,
1552872672,L,58560.12621,0.01041666667,,HS,,,6.00E-02,2019-03-18 3:01:45,,
1553477469,L,58567.12621,0.01041666667,,HS,,,4.80E-02,2019-03-25 3:01:45,,
1554080984,L,58574.11221,0.01041666667,,HS,8.50E-02,1.24E-02,,2019-04-01 2:41:35,,
1554771678,L,58582.10621,0.01041666667,,HS,9.40E-02,3.41E-03,,2019-04-09 2:32:57,,
1555290074,L,58588.10621,0.01041666667,,HS,,,5.70E-02,2019-04-15 2:32:57,,
1555723938,L,58593.12821,0.01041666667,,HS,5.70E-02,6.96E-03,,2019-04-20 3:04:37,,
1556507556,L,58602.19821,0.01041666667,,HS,,,5.70E-02,2019-04-29 4:45:25,,
1557005454,L,58608.00221,0.01041666667,,HS,6.20E-02,3.25E-03,,2019-05-05 0:03:11,,
1557610250,L,58614.94721,0.01041666667,,HS,,,6.30E-02,2019-05-11 22:43:59,,
1558213252,L,58621.93621,0.01041666667,,HS,,,5.40E-02,2019-05-18 22:28:09,,
1558743128,L,58626.05821,0.01041666667,,HS,,,7.00E-02,2019-05-23 1:23:49,,
1565029321,L,58700.78683,0.04166666667,,HS,8.30E-02,3.48E-03,,2019-08-05 18:53:02,,
1583118973,L,58910.19821,0.01041666667,,SS,,,6.30E-02,2020-03-02 4:45:25,,
