## Data from Kelebogile and Zuobin


## SOURCE_METADATA
# class, l_deg, b_deg, coordinates_refs, D, D_prob, distance_distribution_text, distance_refs
NS,340.81,-2.49,[], 8.8, "(""gauss"", 8.8, 1.32)", 8.8 \pm 1.32, [https://ui.adsabs.harvard.edu/abs/2009ApJ...699...60L/abstract]

## OBS_METADATA
# xray_CI, xray_obs_ref, radio_obs_ref, extra_xray_text, extra_radio_text
68, [Gasealahwe et al. (in prep.) & ], [Gasealahwe et al. 2024 & https://ui.adsabs.harvard.edu/abs/2024MNRAS.533.1800G/abstract] , , 




## XRAY_DATA
# obsID, t_xray, dt_xray, Xphase, Xstate, Fx, Fx_unc_l, Fx_unc_u, Fx_uplim, model, fit_stat
00031776027 ,59828.836340,,rise,SS,7.925E-09,3.567E-10,3.735E-10,,,
00031776028 ,59829.502040,,rise,SS,6.368E-09,5.838E-11,5.892E-11,,,
00031776029 ,59830.440230,,rise,SS,9.036E-09,6.221E-11,6.264E-11,,,
00031776030 ,59833.344300,,rise,SS,1.122E-08,1.539E-10,1.561E-10,,,
00031776031 ,59834.602950,,rise,SS,1.127E-08,1.290E-10,1.305E-10,,,
00031776032 ,59836.763470,,rise,SS,1.560E-08,7.884E-11,7.924E-11,,,
00031776033 ,59837.784140,,rise,SS,1.710E-08,2.346E-10,2.379E-10,,,
00031776034 ,59840.046950,,rise,SS,2.205E-08,1.266E-10,1.273E-10,,,
00031776036 ,59843.567300,,peak/trough,SS,2.466E-08,1.585E-10,1.595E-10,,,
00031776037 ,59847.464480,,peak/trough,SS,1.837E-08,6.754E-11,7.203E-11,,,
00031776038 ,59854.883070,,peak/trough,SS,3.177E-08,2.187E-10,2.202E-10,,,
00031776039 ,59861.283100,,peak/trough,SS,2.780E-08,1.914E-10,1.927E-10,,,
00031776041 ,59875.637990,,decay,SS,1.422E-08,1.628E-10,1.647E-10,,,
00031776042 ,59882.148620,,decay,SS,1.426E-08,1.307E-10,1.319E-10,,,
00031776043 ,59965.747760,,decay,SS,9.572E-09,8.776E-11,8.857E-11,,,
00031776044 ,59972.044730,,decay,SS,9.204E-09,8.439E-11,8.517E-11,,,
00031776045 ,59979.866660,,decay,SS,7.762E-09,7.117E-11,7.183E-11,,,
00031776046 ,59986.075180,,decay,SS,6.966E-09,6.387E-11,6.446E-11,,,
00031776047 ,59993.026070,,decay,SS,5.808E-09,7.968E-11,8.079E-11,,,
00031776048  ,60000.655360,,decay,SS,4.786E-09,5.479E-11,6.658E-11,,,
00031776051 ,60021.763050,,decay,SS,2.183E-10,6.924E-12,7.151E-12,,,
00031776052 ,60023.610980,,decay,SS,8.128E-11,2.940E-12,3.050E-12,,,
00031776053 ,60025.896550,,decay,SS,2.704E-11,1.513E-12,1.602E-12,,,
00031776054 ,60028.38418,,decay,SS,8.710E-12,1.630E-12,1.762E-12,,,
00031776055 ,60029.64645,,decay,SS,5.495E-12,8.181E-13,9.611E-13,,,




## RADIO_DATA
# blockID, band, t_radio, dt_radio, Rphase, Rstate, Fr, Fr_unc, Fr_uplim, local_rms, alpha, alpha_unc
1627313073,L,59421.75919,0.0103657403,,SS,,,0.072,,,
1662564675,L,59829.65461,0.01036,,SS,,,0.074,,,
1662741220,L,59831.70687,0.01037,,SS,,,0.069,,,
1663346775,L,59838.71566,0.01037,rise,SS,0.339,0.02,,,0.26,0.46
1663682476,L,59842.59219,0.01036,rise,SS,2.62,0.03,,,-0.21,0.26
1664039818,L,59846.7369,0.01037,rise,SS,3.98,0.022,,,-2.53,0.2
1664539279,L,59852.53187,0.01036,decay,SS,1.71,0.028,,,-0.08,0.59
1665159058,L,59859.69108,0.01036,decay,SS,1.31,0.023,,,-0.84,0.25
1665831672,L,59867.47585,0.01046,decay,SS,0.92,0.022,,,-0.36,0.21
1666360876,L,59873.60109,0.01036,rise,SS,1.32,0.024,,,-0.16,0.22
1666968671,L,59880.63565,0.01037,,SS,,,0.074,,,
1667748675,L,59889.6775,0.01036,unclear,SS,2.53,0.029,,,-1.07,0.21
1668177075,L,59894.63583,0.01037,,SS,,,0.069,,,
1668776479,L,59901.57345,0.01037,rise,SS,0.8,0.023,,,-0.34,0.19
1669467613,L,59909.57268,0.01037,rise,SS,2.23,0.027,,,-0.74,0.33
1669989370,L,59915.61152,0.01037,decay,SS,0.35,0.023,,,-0.12,0.8
1670590875,L,59922.57335,0.01036,,SS,,,0.075,,,
1671435077,L,59932.34551,0.01036,,SS,,,0.073,,,
1672036274,L,59939.30269,0.01036,unclear,SS,0.22,0.026,,,,
1672652158,L,59946.43089,0.01037,,SS,,,0.077,,,
1673079281,L,59951.3747,0.01036,,SS,,,0.078,,,
1673684514,L,59958.37972,0.01036,,SS,,,0.075,,,
1674292549,L,59965.41679,0.01037,,SS,,,0.071,,,
1674890595,L,59972.33898,0.01036,,SS,,,0.144,,,
1675486876,L,59979.24053,0.01037,,SS,,,0.143,,,
1676104286,L,59986.37178,0.01037,,SS,,,0.077,,,
1676952858,L,59996.22339,0.01037,,SS,,,0.14,,,
1677385451,L,60001.21441,0.01036,,SS,,,0.14,,,
1678597938,L,60015.24713,0.01036,,SS,,,0.071,,,
1679703078,L,60028.03843,0.01037,,SS,,,0.071,,,
